algorithm,num_agents,num_tasks,seed,success,iterations,total_distance,tasks_completed,productive_agents,unproductive_agents
greedy,10,10,15,True,8,212.85023537869904,10,6,4
greedy,10,10,16,True,8,215.82507091983715,10,5,5
greedy,10,10,17,True,13,363.19757373030353,10,5,5
greedy,10,10,18,True,8,223.16532111036562,10,5,5
greedy,10,10,19,True,8,220.217749781336,10,7,3
greedy,10,10,20,True,6,163.50712942916957,10,6,4
greedy,10,10,21,True,7,190.62474874003902,10,5,5
greedy,10,10,22,True,6,160.33454475676993,10,7,3
greedy,10,10,23,True,8,214.66398539692366,10,6,4
greedy,10,10,24,True,11,301.69658049057887,10,6,4
greedy,10,10,25,True,10,277.80044332506856,10,6,4
greedy,10,10,26,True,4,104.88789026504284,10,7,3
greedy,10,10,27,True,6,162.6079047935948,10,8,2
greedy,10,10,28,True,6,163.54406388603124,10,6,4
greedy,10,10,29,True,7,192.59127775399733,10,8,2
fixed_pso,10,10,0,True,8,217.0529226001094,10,7,3
fixed_pso,10,10,1,True,13,352.21330784721,10,7,3
fixed_pso,10,10,2,True,11,295.0982987683584,10,8,2
fixed_pso,10,10,3,True,9,242.73032302443235,10,7,3
fixed_pso,10,10,4,True,9,245.87585991097816,10,6,4
fixed_pso,10,10,5,True,7,184.4821935483464,10,7,3
fixed_pso,10,10,6,True,8,210.76035260900545,10,7,3
fixed_pso,10,10,7,True,7,189.22817688767188,10,6,4
fixed_pso,10,10,8,True,6,154.2024667380068,10,9,1
fixed_pso,10,10,9,True,6,158.67449730076518,10,9,1
fixed_pso,10,10,10,True,13,356.1795431957973,10,6,4
fixed_pso,10,10,11,True,7,187.20669772368063,10,8,2
fixed_pso,10,10,12,True,8,217.96676561008593,10,6,4
fixed_pso,10,10,13,True,8,211.8964171863107,10,7,3
fixed_pso,10,10,14,True,15,408.84783272670944,10,6,4
fixed_pso,10,10,15,True,8,210.900665675219,10,7,3
fixed_pso,10,10,16,True,8,210.4978869434151,10,7,3
fixed_pso,10,10,17,True,12,319.4004171006717,10,8,2
fixed_pso,10,10,18,True,10,268.963629334876,10,6,4
fixed_pso,10,10,19,True,10,261.0735893633555,10,7,3
fixed_pso,10,10,20,True,6,160.9676103215261,10,7,3
fixed_pso,10,10,21,True,8,212.2989330687576,10,6,4
fixed_pso,10,10,22,True,7,184.34348028006772,10,7,3
fixed_pso,10,10,23,True,8,207.70887061295682,10,5,5
fixed_pso,10,10,24,True,14,377.1919819866662,10,7,3
fixed_pso,10,10,25,True,12,321.04631733933104,10,8,2
fixed_pso,10,10,26,True,7,184.3477056440938,10,8,2
fixed_pso,10,10,27,True,6,163.8317020014134,10,7,3
fixed_pso,10,10,28,True,6,163.27674668873996,10,7,3
fixed_pso,10,10,29,True,8,211.9449751566511,10,8,2
dynamic_pso,10,10,0,True,8,216.63410055537926,10,7,3
dynamic_pso,10,10,1,True,12,323.3993940476006,10,6,4
dynamic_pso,10,10,2,True,11,291.1157685371207,10,8,2
dynamic_pso,10,10,3,True,9,241.7458836390599,10,7,3
dynamic_pso,10,10,4,True,9,243.47137644699902,10,6,4
dynamic_pso,10,10,5,True,9,235.3750659264682,10,7,3
dynamic_pso,10,10,6,True,9,239.56124203367654,10,7,3
dynamic_pso,10,10,7,True,8,213.63818995558879,10,6,4
dynamic_pso,10,10,8,True,5,127.16066699029788,10,9,1
dynamic_pso,10,10,9,True,6,157.34125499231268,10,9,1
dynamic_pso,10,10,10,True,13,354.5233032723504,10,6,4
dynamic_pso,10,10,11,True,7,186.03053832858748,10,8,2
dynamic_pso,10,10,12,True,8,216.52418690595684,10,6,4
dynamic_pso,10,10,13,True,8,210.84580820875024,10,7,3
dynamic_pso,10,10,14,True,15,405.1401973997265,10,7,3
dynamic_pso,10,10,15,True,8,209.35150729753883,10,7,3
dynamic_pso,10,10,16,True,8,209.49641451028512,10,7,3
dynamic_pso,10,10,17,True,10,267.56219337938586,10,7,3
dynamic_pso,10,10,18,True,10,269.82638424309044,10,6,4
dynamic_pso,10,10,19,True,10,257.57610610188607,10,8,2
dynamic_pso,10,10,20,True,6,160.4363692348736,10,7,3
dynamic_pso,10,10,21,True,8,210.57682484017286,10,6,4
dynamic_pso,10,10,22,True,7,183.5058517519264,10,6,4
dynamic_pso,10,10,23,True,8,206.33960488481063,10,5,5
dynamic_pso,10,10,24,True,12,320.8331903232848,10,7,3
dynamic_pso,10,10,25,True,12,322.61118095113653,10,8,2
dynamic_pso,10,10,26,True,7,183.59838118507875,10,8,2
dynamic_pso,10,10,27,True,6,163.29145546318523,10,7,3
dynamic_pso,10,10,28,True,6,164.29462288067873,10,7,3
dynamic_pso,10,10,29,True,8,210.69670191985756,10,9,1
greedy,15,10,0,True,7,290.1008962123574,10,5,10
greedy,15,10,1,True,4,166.98389134594825,10,7,8
greedy,15,10,2,True,5,203.42925492294344,10,7,8
greedy,15,10,3,True,4,165.59437461363655,10,8,7
greedy,15,10,4,True,8,329.2284905809847,10,9,6
greedy,15,10,5,True,4,163.11419736611117,10,9,6
greedy,15,10,6,True,6,244.62821163003895,10,7,8
greedy,15,10,7,True,6,248.4199202384807,10,7,8
greedy,15,10,8,True,8,332.85697054340966,10,8,7
greedy,15,10,9,True,5,204.26654629258834,10,7,8
greedy,15,10,10,True,8,334.3857838315289,10,6,9
greedy,15,10,11,True,7,288.447176109879,10,8,7
greedy,15,10,12,True,4,165.9806716034383,10,7,8
greedy,15,10,13,True,8,324.62849534455285,10,7,8
