seed,scenario_fingerprint,failure_rate,failed_agent_ids,method,success,iterations,total_distance,blocked_moves,redundancy,runtime_seconds,assignment_requests,global_assignment_calls,path_cost_evaluations,successful_astar_queries,unreachable_astar_queries
17,bd48f9d88a81de539cd6c36e4efa1249e5a6f957b5f67f49c26e56c3df02bfde,0.0,,event_global,1,26,189.0,0,0.0,1.8180600519990548,26,15,2280,2280,0
18,2fedb82381346e79fca0ea0fe6547f431b152e58447bd4bf3d808e5d8635a789,0.0,,repeated,1,22,187.0,4,0.0,2.3953748509957222,22,22,3090,3090,0
18,2fedb82381346e79fca0ea0fe6547f431b152e58447bd4bf3d808e5d8635a789,0.0,,event_global,1,22,187.0,4,0.0,1.7053757220128318,22,14,2265,2265,0
19,b2638726003cc78f41e4c81146cca003e48e283ff1ea63934f24b69c029f00d2,0.0,,repeated,1,25,216.0,2,0.0,3.5304824899940286,25,25,3525,3525,0
19,b2638726003cc78f41e4c81146cca003e48e283ff1ea63934f24b69c029f00d2,0.0,,event_global,1,25,216.0,2,0.0,3.259966079000151,25,16,2610,2610,0
20,b1a14a7f0c8df2360dbb0feeb1e68684fdb31869f272dff1da2983d0b115d4ee,0.0,,repeated,1,28,222.0,0,0.0,3.260307971999282,28,28,3690,3690,0
20,b1a14a7f0c8df2360dbb0feeb1e68684fdb31869f272dff1da2983d0b115d4ee,0.0,,event_global,1,28,222.0,0,0.0,2.3134364610014018,28,12,2115,2115,0
21,00bdac501a4c9641257628d2b27440d7406eec5b3ef0acb2a0c00bff5acaf731,0.0,,repeated,1,25,259.0,0,0.0,6.5207704169879435,25,25,4230,4230,0
21,00bdac501a4c9641257628d2b27440d7406eec5b3ef0acb2a0c00bff5acaf731,0.0,,event_global,1,25,259.0,0,0.0,4.136178554006619,25,14,2355,2355,0
22,d902a0198fd731553b9101de4d11d0254542872b640ca6b3b06eea2ab489b9dd,0.0,,repeated,1,18,173.0,0,0.0,2.6050654120044783,18,18,2835,2835,0
22,d902a0198fd731553b9101de4d11d0254542872b640ca6b3b06eea2ab489b9dd,0.0,,event_global,1,18,173.0,0,0.0,1.6534095450042514,18,11,1905,1905,0
23,07934270464130f11474705e989b5f024181a376da2d424144333bd097c9b727,0.0,,repeated,1,19,175.0,0,0.0,2.58311232199776,19,19,2760,2760,0
23,07934270464130f11474705e989b5f024181a376da2d424144333bd097c9b727,0.0,,event_global,1,19,175.0,0,0.0,1.824327413996798,19,13,2040,2040,0
24,547dea9c1e76cff0b352f8b7a622b050c74691bfc473f9cdfc5738bcbdda3834,0.0,,repeated,1,21,168.0,0,0.0,3.0706579649995547,21,21,2760,2760,0
24,547dea9c1e76cff0b352f8b7a622b050c74691bfc473f9cdfc5738bcbdda3834,0.0,,event_global,1,21,168.0,0,0.0,2.1324772689986276,21,13,1905,1905,0
25,87d1f2ff502e93aca75f40d827d39dbc3e6579c0fb538c1a6b352c45b5472fbc,0.0,,repeated,1,23,166.0,3,0.0,3.001641519003897,23,23,2775,2775,0
25,87d1f2ff502e93aca75f40d827d39dbc3e6579c0fb538c1a6b352c45b5472fbc,0.0,,event_global,1,23,166.0,3,0.0,2.840357090011821,23,15,2100,2100,0
26,dd46e93ac1946a1c9502789c39673df427af893168b0309f4126b92f1df066fd,0.0,,repeated,1,30,315.0,0,0.0,6.8209330450044945,30,30,5190,5190,0
26,dd46e93ac1946a1c9502789c39673df427af893168b0309f4126b92f1df066fd,0.0,,event_global,1,30,315.0,0,0.0,3.645181108993711,30,12,1980,1980,0
27,157c33620474ede024bb19583b72591c7148ea5ef66362319bb1b03dff946b3c,0.0,,repeated,1,23,195.0,0,0.0,4.791346120007802,23,23,3150,3150,0
27,157c33620474ede024bb19583b72591c7148ea5ef66362319bb1b03dff946b3c,0.0,,event_global,1,23,195.0,0,0.0,2.1186635269987164,23,15,2265,2265,0
28,0b0090ab340fe847f5d113df6605f39bb1f6e473ca883688ec26ca82f9d86907,0.0,,repeated,1,15,130.0,0,0.0,1.9501918669993756,15,15,2130,2130,0
28,0b0090ab340fe847f5d113df6605f39bb1f6e473ca883688ec26ca82f9d86907,0.0,,event_global,1,15,130.0,0,0.0,3.566494020007667,15,12,1890,1890,0
29,26d15bf20359cf8f7014f82d1c9074ea2c74c6d6a6596fc11fe5cae4b3ff83a0,0.0,,repeated,1,24,176.0,0,0.0,4.967818221994094,24,24,2985,2985,0
29,26d15bf20359cf8f7014f82d1c9074ea2c74c6d6a6596fc11fe5cae4b3ff83a0,0.0,,event_global,1,24,176.0,0,0.0,2.6675102199951652,24,12,1755,1755,0
0,373da5453cae534ed0e5820cb254f00ee54b9e236b910ecc507d40c86c37ed24,0.2,1;2;3,repeated,1,32,248.0,0,0.0,4.49861116700049,32,32,3543,3543,0
0,373da5453cae534ed0e5820cb254f00ee54b9e236b910ecc507d40c86c37ed24,0.2,1;2;3,event_global,1,32,248.0,0,0.0,1.6416594400070608,32,14,1773,1773,0
1,d9a2b175a7a3e1c67e9d2c435d9f3d50a2255318b91a79b9d0ee145f56f73c1b,0.2,4;7;13,repeated,1,27,223.0,3,0.0,3.0205058510036906,27,27,3306,3306,0
1,d9a2b175a7a3e1c67e9d2c435d9f3d50a2255318b91a79b9d0ee145f56f73c1b,0.2,4;7;13,event_global,1,27,223.0,3,0.0,2.9606791239930317,27,16,2418,2418,0
2,2c7aa5014f855d42cded0b042f5e559caf46c97c96b4ef879ce5a145ed99f338,0.2,8;11;12,repeated,1,28,223.0,2,0.0,3.6387141610030085,28,28,3141,3141,0
2,2c7aa5014f855d42cded0b042f5e559caf46c97c96b4ef879ce5a145ed99f338,0.2,8;11;12,event_global,1,28,223.0,2,0.0,1.6275814570108196,28,14,1737,1737,0
3,2b287e1ca6dbe51a24893c7a8f39cb821fad66d6441d6040b6e3bdfc80eb40e8,0.2,5;9;10,repeated,1,21,177.0,0,0.0,1.9568592719879234,21,21,2631,2631,0
