seed,scenario_fingerprint,algorithm,num_agents,num_tasks,obstacle_density,failure_rate,failure_iteration,failed_agent_count,failed_agent_ids,success,iterations,completed_tasks,total_distance,productive_agents,blocked_moves,unreachable_plans,redundant_target_ratio,runtime_seconds
10,dcc1a9f295482eda76eb9995bd9ae4eb1c4d01b44d5dc6ed52ad323e90716ac1,manhattan_greedy,15,20,0.2,0.0,5,0,,1,45,20,643.0,8,32,0,0.7866666666666666,0.1805908780079335
10,dcc1a9f295482eda76eb9995bd9ae4eb1c4d01b44d5dc6ed52ad323e90716ac1,path_cost_greedy,15,20,0.2,0.0,5,0,,1,45,20,640.0,8,35,0,0.7896296296296297,3.149787419999484
10,dcc1a9f295482eda76eb9995bd9ae4eb1c4d01b44d5dc6ed52ad323e90716ac1,hungarian_astar,15,20,0.2,0.0,5,0,,1,27,20,259.0,11,1,0,0.0,2.4955119200021727
11,a7d8aef04b886f8a20cc0f8a3fbc89ba1239b750d9810461f29fcf91ca3f4150,manhattan_greedy,15,20,0.2,0.0,5,0,,1,50,20,717.0,12,33,0,0.764,0.42277139800717123
11,a7d8aef04b886f8a20cc0f8a3fbc89ba1239b750d9810461f29fcf91ca3f4150,path_cost_greedy,15,20,0.2,0.0,5,0,,1,31,20,452.0,11,13,0,0.6731182795698925,3.0349822740099626
11,a7d8aef04b886f8a20cc0f8a3fbc89ba1239b750d9810461f29fcf91ca3f4150,hungarian_astar,15,20,0.2,0.0,5,0,,1,27,20,190.0,12,0,0,0.0,2.556448747011018
12,7a8e524d931398773b487a14d2285991117314ddb6d63bf0c8d28a77a51c504b,manhattan_greedy,15,20,0.2,0.0,5,0,,1,31,20,430.0,9,35,0,0.6688172043010753,0.1151637419970939
12,7a8e524d931398773b487a14d2285991117314ddb6d63bf0c8d28a77a51c504b,path_cost_greedy,15,20,0.2,0.0,5,0,,1,34,20,468.0,8,42,0,0.7274509803921568,2.898379422011203
12,7a8e524d931398773b487a14d2285991117314ddb6d63bf0c8d28a77a51c504b,hungarian_astar,15,20,0.2,0.0,5,0,,1,20,20,212.0,13,0,0,0.0,2.5667321979999542
13,98aed25e5e736f72e2a01082390ca483dfe4958333720301fed29c4428c87d35,manhattan_greedy,15,20,0.2,0.0,5,0,,1,37,20,533.0,12,22,0,0.7441441441441441,0.2458272320072865
13,98aed25e5e736f72e2a01082390ca483dfe4958333720301fed29c4428c87d35,path_cost_greedy,15,20,0.2,0.0,5,0,,1,48,20,682.0,12,38,0,0.8097222222222222,3.351576479006326
13,98aed25e5e736f72e2a01082390ca483dfe4958333720301fed29c4428c87d35,hungarian_astar,15,20,0.2,0.0,5,0,,1,24,20,190.0,12,1,0,0.0,2.362270630997955
14,77b4aaca64e2ce9712d122b4d8dfe6bf8aa2e568d72a19493177363870fe1597,manhattan_greedy,15,20,0.2,0.0,5,0,,1,40,20,561.0,12,39,0,0.7366666666666667,0.1630916859867284
14,77b4aaca64e2ce9712d122b4d8dfe6bf8aa2e568d72a19493177363870fe1597,path_cost_greedy,15,20,0.2,0.0,5,0,,1,36,20,510.0,12,30,0,0.7240740740740741,2.729253139012144
14,77b4aaca64e2ce9712d122b4d8dfe6bf8aa2e568d72a19493177363870fe1597,hungarian_astar,15,20,0.2,0.0,5,0,,1,18,20,159.0,14,1,0,0.0,1.9798404290049803
15,9375cfe2eec4b264788eb9d8553e12931a7047555fa3632e2a5436593ff11ae1,manhattan_greedy,15,20,0.2,0.0,5,0,,1,31,20,456.0,11,9,0,0.7161290322580646,0.1433470180054428
15,9375cfe2eec4b264788eb9d8553e12931a7047555fa3632e2a5436593ff11ae1,path_cost_greedy,15,20,0.2,0.0,5,0,,1,29,20,426.0,12,9,0,0.7103448275862069,2.267912024995894
15,9375cfe2eec4b264788eb9d8553e12931a7047555fa3632e2a5436593ff11ae1,hungarian_astar,15,20,0.2,0.0,5,0,,1,22,20,172.0,13,0,0,0.0,1.9510724699939601
16,a049ff13f7b7a5a251f4dd66aa4bd77c6dbd438d6787b6d95a6c1665d8025a53,manhattan_greedy,15,20,0.2,0.0,5,0,,1,19,20,273.0,13,12,0,0.5719298245614035,0.07921814199653454
16,a049ff13f7b7a5a251f4dd66aa4bd77c6dbd438d6787b6d95a6c1665d8025a53,path_cost_greedy,15,20,0.2,0.0,5,0,,1,17,20,245.0,13,10,0,0.5098039215686274,2.1093235470034415
16,a049ff13f7b7a5a251f4dd66aa4bd77c6dbd438d6787b6d95a6c1665d8025a53,hungarian_astar,15,20,0.2,0.0,5,0,,1,17,20,146.0,14,0,0,0.0,2.0430496690096334
17,bd48f9d88a81de539cd6c36e4efa1249e5a6f957b5f67f49c26e56c3df02bfde,manhattan_greedy,15,20,0.2,0.0,5,0,,1,33,20,453.0,10,42,0,0.7090909090909091,0.16051767399767414
17,bd48f9d88a81de539cd6c36e4efa1249e5a6f957b5f67f49c26e56c3df02bfde,path_cost_greedy,15,20,0.2,0.0,5,0,,1,31,20,423.0,12,42,0,0.6967741935483871,2.529927997995401
17,bd48f9d88a81de539cd6c36e4efa1249e5a6f957b5f67f49c26e56c3df02bfde,hungarian_astar,15,20,0.2,0.0,5,0,,1,26,20,189.0,14,0,0,0.0,2.1848034510039724
18,2fedb82381346e79fca0ea0fe6547f431b152e58447bd4bf3d808e5d8635a789,manhattan_greedy,15,20,0.2,0.0,5,0,,1,26,20,375.0,10,15,0,0.6794871794871795,0.11339704699639697
18,2fedb82381346e79fca0ea0fe6547f431b152e58447bd4bf3d808e5d8635a789,path_cost_greedy,15,20,0.2,0.0,5,0,,1,26,20,374.0,10,16,0,0.676923076923077,2.464315829012776
18,2fedb82381346e79fca0ea0fe6547f431b152e58447bd4bf3d808e5d8635a789,hungarian_astar,15,20,0.2,0.0,5,0,,1,22,20,187.0,12,4,0,0.0,2.3499410090007586
19,b2638726003cc78f41e4c81146cca003e48e283ff1ea63934f24b69c029f00d2,manhattan_greedy,15,20,0.2,0.0,5,0,,1,33,20,467.0,9,28,0,0.701010101010101,0.12191755200910848
19,b2638726003cc78f41e4c81146cca003e48e283ff1ea63934f24b69c029f00d2,path_cost_greedy,15,20,0.2,0.0,5,0,,1,33,20,465.0,9,30,0,0.6868686868686869,3.0147241779923206
19,b2638726003cc78f41e4c81146cca003e48e283ff1ea63934f24b69c029f00d2,hungarian_astar,15,20,0.2,0.0,5,0,,1,25,20,216.0,12,2,0,0.0,2.309559625995462
20,b1a14a7f0c8df2360dbb0feeb1e68684fdb31869f272dff1da2983d0b115d4ee,manhattan_greedy,15,20,0.2,0.0,5,0,,1,27,20,403.0,11,2,0,0.6172839506172839,0.09185602200159337
20,b1a14a7f0c8df2360dbb0feeb1e68684fdb31869f272dff1da2983d0b115d4ee,path_cost_greedy,15,20,0.2,0.0,5,0,,1,27,20,402.0,11,3,0,0.6246913580246913,2.157931955996901
20,b1a14a7f0c8df2360dbb0feeb1e68684fdb31869f272dff1da2983d0b115d4ee,hungarian_astar,15,20,0.2,0.0,5,0,,1,28,20,222.0,13,0,0,0.0,2.235050451999996
21,00bdac501a4c9641257628d2b27440d7406eec5b3ef0acb2a0c00bff5acaf731,manhattan_greedy,15,20,0.2,0.0,5,0,,1,53,20,752.0,9,43,0,0.769811320754717,0.4019017509999685
21,00bdac501a4c9641257628d2b27440d7406eec5b3ef0acb2a0c00bff5acaf731,path_cost_greedy,15,20,0.2,0.0,5,0,,1,45,20,631.0,8,44,0,0.7911111111111111,6.39096423900628
