seed,scenario_fingerprint,failure_rate,failed_agent_ids,method,success,iterations,total_distance,blocked_moves,redundancy,runtime_seconds,assignment_requests,global_assignment_calls,local_repair_calls,lock_escalations,path_cost_evaluations,successful_astar_queries,unreachable_astar_queries
5,084842ed1c0283d8869644d15d61f080bbc611ac9eed102df56952f8d59f0d98,0.2,6;9;14,local_repair,1,47,305.0,0,0.0,0.6230225220060674,47,4,4,0,340,340,0
5,084842ed1c0283d8869644d15d61f080bbc611ac9eed102df56952f8d59f0d98,0.2,6;9;14,lock_aware,1,31,240.0,0,0.0,2.8298391589923995,31,24,3,23,1900,1900,0
6,ab571899befc6e625b077ab5562b411484b2d802dfcdaab3537961193a88bc99,0.2,3;7;14,repeated,1,28,239.0,1,0.0,3.166202501000953,28,28,0,0,3567,3567,0
6,ab571899befc6e625b077ab5562b411484b2d802dfcdaab3537961193a88bc99,0.2,3;7;14,event_global,1,28,239.0,1,0.0,2.0795288359950064,28,15,0,0,2130,2130,0
6,ab571899befc6e625b077ab5562b411484b2d802dfcdaab3537961193a88bc99,0.2,3;7;14,local_repair,0,500,256.0,967,0.0,0.7789818349992856,500,6,6,0,325,325,0
6,ab571899befc6e625b077ab5562b411484b2d802dfcdaab3537961193a88bc99,0.2,3;7;14,lock_aware,1,32,243.0,1,0.0,0.8725797789957142,32,20,5,19,1201,1201,0
7,d44613e0ff50096643de7759e2a6ff9b9a38dacb8e42f7147d011d58eac06768,0.2,6;11;13,repeated,1,29,197.0,1,0.0,3.054018452006858,29,29,0,0,2979,2979,0
7,d44613e0ff50096643de7759e2a6ff9b9a38dacb8e42f7147d011d58eac06768,0.2,6;11;13,event_global,1,29,197.0,1,0.0,1.654521994991228,29,14,0,0,1875,1875,0
7,d44613e0ff50096643de7759e2a6ff9b9a38dacb8e42f7147d011d58eac06768,0.2,6;11;13,local_repair,0,500,240.0,1444,0.0,0.7020136840001214,500,6,6,0,326,326,0
7,d44613e0ff50096643de7759e2a6ff9b9a38dacb8e42f7147d011d58eac06768,0.2,6;11;13,lock_aware,1,31,202.0,1,0.0,1.210707502992591,31,23,5,22,1286,1286,0
8,f894db0ca9ffeb2a03a0c98851209adc13b5620ca80fd367086baecdae577100,0.2,7;10;11,repeated,1,36,233.0,0,0.0,3.429282290991978,36,36,0,0,3297,3297,0
8,f894db0ca9ffeb2a03a0c98851209adc13b5620ca80fd367086baecdae577100,0.2,7;10;11,event_global,1,36,233.0,0,0.0,2.1495483559992863,36,16,0,0,2121,2121,0
8,f894db0ca9ffeb2a03a0c98851209adc13b5620ca80fd367086baecdae577100,0.2,7;10;11,local_repair,0,500,264.0,462,0.0,0.5057346920075361,500,6,6,0,324,324,0
8,f894db0ca9ffeb2a03a0c98851209adc13b5620ca80fd367086baecdae577100,0.2,7;10;11,lock_aware,1,42,236.0,2,0.0,2.776719322995632,42,35,5,34,1860,1860,0
9,c5b68cda855df34a54ff5824e57bf17637fe3922358404968f0ffe872081a926,0.2,1;3;13,repeated,1,22,191.0,1,0.0,4.096680855989689,22,22,0,0,2721,2721,0
9,c5b68cda855df34a54ff5824e57bf17637fe3922358404968f0ffe872081a926,0.2,1;3;13,event_global,1,22,191.0,1,0.0,2.138027740002144,22,13,0,0,1677,1677,0
9,c5b68cda855df34a54ff5824e57bf17637fe3922358404968f0ffe872081a926,0.2,1;3;13,local_repair,1,42,220.0,1,0.0,0.4070260239968775,42,5,5,0,329,329,0
9,c5b68cda855df34a54ff5824e57bf17637fe3922358404968f0ffe872081a926,0.2,1;3;13,lock_aware,1,22,192.0,1,0.0,1.868533307002508,22,16,4,15,1469,1469,0
10,dcc1a9f295482eda76eb9995bd9ae4eb1c4d01b44d5dc6ed52ad323e90716ac1,0.2,5;6;7,repeated,1,32,295.0,2,0.0,3.204922216013074,32,32,0,0,4383,4383,0
10,dcc1a9f295482eda76eb9995bd9ae4eb1c4d01b44d5dc6ed52ad323e90716ac1,0.2,5;6;7,event_global,1,32,295.0,2,0.0,1.6318304559972603,32,18,0,0,2706,2706,0
10,dcc1a9f295482eda76eb9995bd9ae4eb1c4d01b44d5dc6ed52ad323e90716ac1,0.2,5;6;7,local_repair,0,500,379.0,482,0.0,0.4005836020078277,500,8,8,0,324,324,0
10,dcc1a9f295482eda76eb9995bd9ae4eb1c4d01b44d5dc6ed52ad323e90716ac1,0.2,5;6;7,lock_aware,1,32,290.0,2,0.0,0.9370121829997515,32,18,7,17,1488,1488,0
11,a7d8aef04b886f8a20cc0f8a3fbc89ba1239b750d9810461f29fcf91ca3f4150,0.2,5;13;14,repeated,1,29,204.0,0,0.0,3.498428820996196,29,29,0,0,3081,3081,0
11,a7d8aef04b886f8a20cc0f8a3fbc89ba1239b750d9810461f29fcf91ca3f4150,0.2,5;13;14,event_global,1,29,204.0,0,0.0,2.9182891480013495,29,15,0,0,1929,1929,0
11,a7d8aef04b886f8a20cc0f8a3fbc89ba1239b750d9810461f29fcf91ca3f4150,0.2,5;13;14,local_repair,1,43,246.0,0,0.0,0.5219629229977727,43,7,7,0,331,331,0
11,a7d8aef04b886f8a20cc0f8a3fbc89ba1239b750d9810461f29fcf91ca3f4150,0.2,5;13;14,lock_aware,1,31,203.0,0,0.0,2.1855676179984584,31,22,6,21,1159,1159,0
12,7a8e524d931398773b487a14d2285991117314ddb6d63bf0c8d28a77a51c504b,0.2,0;1;3,repeated,1,23,220.0,1,0.0,5.654303959992831,23,23,0,0,3576,3576,0
12,7a8e524d931398773b487a14d2285991117314ddb6d63bf0c8d28a77a51c504b,0.2,0;1;3,event_global,1,23,220.0,1,0.0,2.04789550100395,23,14,0,0,1848,1848,0
12,7a8e524d931398773b487a14d2285991117314ddb6d63bf0c8d28a77a51c504b,0.2,0;1;3,local_repair,0,500,261.0,473,0.0,0.44662894000066444,500,6,6,0,330,330,0
12,7a8e524d931398773b487a14d2285991117314ddb6d63bf0c8d28a77a51c504b,0.2,0;1;3,lock_aware,1,23,226.0,0,0.0,0.7121865549997892,23,10,5,9,846,846,0
13,98aed25e5e736f72e2a01082390ca483dfe4958333720301fed29c4428c87d35,0.2,5;10;12,repeated,1,33,240.0,1,0.0,3.3420998829969903,33,33,0,0,3333,3333,0
13,98aed25e5e736f72e2a01082390ca483dfe4958333720301fed29c4428c87d35,0.2,5;10;12,event_global,1,33,240.0,1,0.0,1.5616928979870863,33,14,0,0,1791,1791,0
13,98aed25e5e736f72e2a01082390ca483dfe4958333720301fed29c4428c87d35,0.2,5;10;12,local_repair,0,500,331.0,477,0.0,0.7293466730043292,500,5,5,0,329,329,0
13,98aed25e5e736f72e2a01082390ca483dfe4958333720301fed29c4428c87d35,0.2,5;10;12,lock_aware,1,35,273.0,1,0.0,2.1804544620099477,35,28,4,27,2285,2285,0
14,77b4aaca64e2ce9712d122b4d8dfe6bf8aa2e568d72a19493177363870fe1597,0.2,5;10;11,repeated,1,22,184.0,1,0.0,3.155947241000831,22,22,0,0,2790,2790,0
14,77b4aaca64e2ce9712d122b4d8dfe6bf8aa2e568d72a19493177363870fe1597,0.2,5;10;11,event_global,1,22,184.0,1,0.0,2.258798882990959,22,13,0,0,1479,1479,0
14,77b4aaca64e2ce9712d122b4d8dfe6bf8aa2e568d72a19493177363870fe1597,0.2,5;10;11,local_repair,0,500,198.0,467,0.0,1.062207593000494,500,5,5,0,327,327,0
14,77b4aaca64e2ce9712d122b4d8dfe6bf8aa2e568d72a19493177363870fe1597,0.2,5;10;11,lock_aware,1,23,176.0,4,0.0,1.8900356219965033,23,15,4,14,1023,1023,0
15,9375cfe2eec4b264788eb9d8553e12931a7047555fa3632e2a5436593ff11ae1,0.2,3;7;12,repeated,1,22,175.0,0,0.0,4.742915798007743,22,22,0,0,2535,2535,0
15,9375cfe2eec4b264788eb9d8553e12931a7047555fa3632e2a5436593ff11ae1,0.2,3;7;12,event_global,1,22,175.0,0,0.0,5.342902183008846,22,11,0,0,1671,1671,0
15,9375cfe2eec4b264788eb9d8553e12931a7047555fa3632e2a5436593ff11ae1,0.2,3;7;12,local_repair,0,500,208.0,487,0.0,2.972387964997324,500,7,7,0,324,324,0
15,9375cfe2eec4b264788eb9d8553e12931a7047555fa3632e2a5436593ff11ae1,0.2,3;7;12,lock_aware,1,22,177.0,0,0.0,5.829121946007945,22,15,6,14,1128,1128,0
16,a049ff13f7b7a5a251f4dd66aa4bd77c6dbd438d6787b6d95a6c1665d8025a53,0.2,9;10;11,repeated,1,20,150.0,0,0.0,7.050979524006834,20,20,0,0,2199,2199,0
16,a049ff13f7b7a5a251f4dd66aa4bd77c6dbd438d6787b6d95a6c1665d8025a53,0.2,9;10;11,event_global,1,20,150.0,0,0.0,5.6281795160030015,20,13,0,0,1683,1683,0
16,a049ff13f7b7a5a251f4dd66aa4bd77c6dbd438d6787b6d95a6c1665d8025a53,0.2,9;10;11,local_repair,1,24,173.0,0,0.0,0.6111674209969351,24,4,4,0,321,321,0
16,a049ff13f7b7a5a251f4dd66aa4bd77c6dbd438d6787b6d95a6c1665d8025a53,0.2,9;10;11,lock_aware,1,20,151.0,0,0.0,2.1794817700138083,20,16,3,15,1324,1324,0
17,bd48f9d88a81de539cd6c36e4efa1249e5a6f957b5f67f49c26e56c3df02bfde,0.2,6;8;14,repeated,1,26,216.0,0,0.0,2.7334498379932484,26,26,0,0,3159,3159,0
17,bd48f9d88a81de539cd6c36e4efa1249e5a6f957b5f67f49c26e56c3df02bfde,0.2,6;8;14,event_global,1,26,216.0,0,0.0,2.0334759449906414,26,18,0,0,2391,2391,0
17,bd48f9d88a81de539cd6c36e4efa1249e5a6f957b5f67f49c26e56c3df02bfde,0.2,6;8;14,local_repair,1,55,262.0,0,0.0,0.3427350169949932,55,7,7,0,322,322,0
17,bd48f9d88a81de539cd6c36e4efa1249e5a6f957b5f67f49c26e56c3df02bfde,0.2,6;8;14,lock_aware,1,24,214.0,0,0.0,1.0626898600021377,24,16,6,15,1426,1426,0
18,2fedb82381346e79fca0ea0fe6547f431b152e58447bd4bf3d808e5d8635a789,0.2,3;10;13,repeated,1,22,208.0,2,0.0,3.049236987004406,22,22,0,0,3078,3078,0
18,2fedb82381346e79fca0ea0fe6547f431b152e58447bd4bf3d808e5d8635a789,0.2,3;10;13,event_global,1,22,208.0,2,0.0,1.7178195099986624,22,13,0,0,1854,1854,0
18,2fedb82381346e79fca0ea0fe6547f431b152e58447bd4bf3d808e5d8635a789,0.2,3;10;13,local_repair,0,500,255.0,478,0.0,0.5088618589943508,500,7,7,0,326,326,0
18,2fedb82381346e79fca0ea0fe6547f431b152e58447bd4bf3d808e5d8635a789,0.2,3;10;13,lock_aware,1,30,215.0,3,0.0,1.1807868430041708,30,21,6,20,1322,1322,0
19,b2638726003cc78f41e4c81146cca003e48e283ff1ea63934f24b69c029f00d2,0.2,2;6;11,repeated,1,31,214.0,2,0.0,2.621690407002461,31,31,0,0,3189,3189,0
19,b2638726003cc78f41e4c81146cca003e48e283ff1ea63934f24b69c029f00d2,0.2,2;6;11,event_global,1,31,214.0,2,0.0,1.829610105996835,31,16,0,0,2310,2310,0
19,b2638726003cc78f41e4c81146cca003e48e283ff1ea63934f24b69c029f00d2,0.2,2;6;11,local_repair,1,55,262.0,4,0.0,0.3393208690104075,55,8,8,0,328,328,0
19,b2638726003cc78f41e4c81146cca003e48e283ff1ea63934f24b69c029f00d2,0.2,2;6;11,lock_aware,1,33,216.0,4,0.0,1.0068167619901942,33,23,7,22,1204,1204,0
20,b1a14a7f0c8df2360dbb0feeb1e68684fdb31869f272dff1da2983d0b115d4ee,0.2,0;1;3,repeated,1,30,234.0,0,0.0,2.536227644988685,30,30,0,0,3483,3483,0
20,b1a14a7f0c8df2360dbb0feeb1e68684fdb31869f272dff1da2983d0b115d4ee,0.2,0;1;3,event_global,1,30,234.0,0,0.0,1.2845844499970553,30,13,0,0,1851,1851,0
20,b1a14a7f0c8df2360dbb0feeb1e68684fdb31869f272dff1da2983d0b115d4ee,0.2,0;1;3,local_repair,1,63,262.0,1,0.0,0.33717924999655224,63,7,7,0,332,332,0
20,b1a14a7f0c8df2360dbb0feeb1e68684fdb31869f272dff1da2983d0b115d4ee,0.2,0;1;3,lock_aware,1,29,227.0,1,0.0,0.966721813994809,29,18,6,17,1160,1160,0
21,00bdac501a4c9641257628d2b27440d7406eec5b3ef0acb2a0c00bff5acaf731,0.2,1;2;11,repeated,1,33,286.0,2,0.0,5.546334047001437,33,33,0,0,4206,4206,0
21,00bdac501a4c9641257628d2b27440d7406eec5b3ef0acb2a0c00bff5acaf731,0.2,1;2;11,event_global,1,33,286.0,2,0.0,4.536293142999057,33,16,0,0,2346,2346,0
21,00bdac501a4c9641257628d2b27440d7406eec5b3ef0acb2a0c00bff5acaf731,0.2,1;2;11,local_repair,0,500,316.0,977,0.0,1.6927483170002233,500,9,9,0,328,328,0
21,00bdac501a4c9641257628d2b27440d7406eec5b3ef0acb2a0c00bff5acaf731,0.2,1;2;11,lock_aware,1,36,309.0,2,0.0,3.933744056004798,36,24,8,23,2020,2020,0
22,d902a0198fd731553b9101de4d11d0254542872b640ca6b3b06eea2ab489b9dd,0.2,0;2;5,repeated,1,22,198.0,0,0.0,3.7266837880015373,22,22,0,0,2937,2937,0
22,d902a0198fd731553b9101de4d11d0254542872b640ca6b3b06eea2ab489b9dd,0.2,0;2;5,event_global,1,22,198.0,0,0.0,4.462636912998278,22,13,0,0,1860,1860,0
22,d902a0198fd731553b9101de4d11d0254542872b640ca6b3b06eea2ab489b9dd,0.2,0;2;5,local_repair,1,33,246.0,0,0.0,1.0328894210106228,33,7,7,0,326,326,0
22,d902a0198fd731553b9101de4d11d0254542872b640ca6b3b06eea2ab489b9dd,0.2,0;2;5,lock_aware,1,23,207.0,0,0.0,3.6346148449956672,23,13,6,12,1046,1046,0
23,07934270464130f11474705e989b5f024181a376da2d424144333bd097c9b727,0.2,4;10;13,repeated,1,21,180.0,0,0.0,7.941441807997762,21,21,0,0,2580,2580,0
23,07934270464130f11474705e989b5f024181a376da2d424144333bd097c9b727,0.2,4;10;13,event_global,1,21,180.0,0,0.0,6.2637511159991845,21,13,0,0,1812,1812,0
23,07934270464130f11474705e989b5f024181a376da2d424144333bd097c9b727,0.2,4;10;13,local_repair,0,500,242.0,464,0.0,2.3622469139954774,500,6,6,0,325,325,0
23,07934270464130f11474705e989b5f024181a376da2d424144333bd097c9b727,0.2,4;10;13,lock_aware,1,21,173.0,0,0.0,3.8964577939914307,21,14,5,13,1069,1069,0
24,547dea9c1e76cff0b352f8b7a622b050c74691bfc473f9cdfc5738bcbdda3834,0.2,1;6;13,repeated,1,26,185.0,0,0.0,9.092574334004894,26,26,0,0,2721,2721,0
24,547dea9c1e76cff0b352f8b7a622b050c74691bfc473f9cdfc5738bcbdda3834,0.2,1;6;13,event_global,1,26,185.0,0,0.0,3.6378051439969568,26,16,0,0,2085,2085,0
24,547dea9c1e76cff0b352f8b7a622b050c74691bfc473f9cdfc5738bcbdda3834,0.2,1;6;13,local_repair,0,500,265.0,461,0.0,0.7931948460027343,500,7,7,0,326,326,0
24,547dea9c1e76cff0b352f8b7a622b050c74691bfc473f9cdfc5738bcbdda3834,0.2,1;6;13,lock_aware,1,31,196.0,1,0.0,2.440901155991014,31,24,6,23,1382,1382,0
25,87d1f2ff502e93aca75f40d827d39dbc3e6579c0fb538c1a6b352c45b5472fbc,0.2,4;8;14,repeated,1,23,187.0,0,0.0,3.6145433649944607,23,23,0,0,2709,2709,0
25,87d1f2ff502e93aca75f40d827d39dbc3e6579c0fb538c1a6b352c45b5472fbc,0.2,4;8;14,event_global,1,23,187.0,0,0.0,2.0640946600033203,23,15,0,0,1977,1977,0
25,87d1f2ff502e93aca75f40d827d39dbc3e6579c0fb538c1a6b352c45b5472fbc,0.2,4;8;14,local_repair,0,500,274.0,475,0.0,0.501415229999111,500,5,5,0,326,326,0
25,87d1f2ff502e93aca75f40d827d39dbc3e6579c0fb538c1a6b352c45b5472fbc,0.2,4;8;14,lock_aware,1,23,187.0,0,0.0,1.4970905459922506,23,18,4,17,1526,1526,0
26,dd46e93ac1946a1c9502789c39673df427af893168b0309f4126b92f1df066fd,0.2,0;4;6,repeated,1,30,280.0,0,0.0,3.74593010598619,30,30,0,0,4245,4245,0
26,dd46e93ac1946a1c9502789c39673df427af893168b0309f4126b92f1df066fd,0.2,0;4;6,event_global,1,30,280.0,0,0.0,2.8311721320060315,30,14,0,0,2079,2079,0
26,dd46e93ac1946a1c9502789c39673df427af893168b0309f4126b92f1df066fd,0.2,0;4;6,local_repair,0,500,335.0,468,0.0,0.3815755550022004,500,7,7,0,333,333,0
26,dd46e93ac1946a1c9502789c39673df427af893168b0309f4126b92f1df066fd,0.2,0;4;6,lock_aware,1,36,318.0,0,0.0,1.0521889730007388,36,21,6,20,1677,1677,0
27,157c33620474ede024bb19583b72591c7148ea5ef66362319bb1b03dff946b3c,0.2,4;5;12,repeated,1,27,222.0,0,0.0,2.6258260430040536,27,27,0,0,3138,3138,0
27,157c33620474ede024bb19583b72591c7148ea5ef66362319bb1b03dff946b3c,0.2,4;5;12,event_global,1,27,222.0,0,0.0,2.2300902559945825,27,15,0,0,2001,2001,0
27,157c33620474ede024bb19583b72591c7148ea5ef66362319bb1b03dff946b3c,0.2,4;5;12,local_repair,1,44,275.0,1,0.0,0.4604507600015495,44,6,6,0,321,321,0
27,157c33620474ede024bb19583b72591c7148ea5ef66362319bb1b03dff946b3c,0.2,4;5;12,lock_aware,1,27,211.0,0,0.0,2.327464375004638,27,21,5,20,1677,1677,0
28,0b0090ab340fe847f5d113df6605f39bb1f6e473ca883688ec26ca82f9d86907,0.2,0;1;3,repeated,1,21,170.0,0,0.0,3.2149949629965704,21,21,0,0,2439,2439,0
28,0b0090ab340fe847f5d113df6605f39bb1f6e473ca883688ec26ca82f9d86907,0.2,0;1;3,event_global,1,21,170.0,0,0.0,2.591327994989115,21,13,0,0,1923,1923,0
28,0b0090ab340fe847f5d113df6605f39bb1f6e473ca883688ec26ca82f9d86907,0.2,0;1;3,local_repair,0,500,215.0,458,0.0,0.46478297299472615,500,6,6,0,327,327,0
28,0b0090ab340fe847f5d113df6605f39bb1f6e473ca883688ec26ca82f9d86907,0.2,0;1;3,lock_aware,1,23,181.0,0,0.0,1.1161988460080465,23,16,5,15,1191,1191,0
29,26d15bf20359cf8f7014f82d1c9074ea2c74c6d6a6596fc11fe5cae4b3ff83a0,0.2,4;5;10,repeated,1,26,198.0,0,0.0,3.0967050759936683,26,26,0,0,3012,3012,0
29,26d15bf20359cf8f7014f82d1c9074ea2c74c6d6a6596fc11fe5cae4b3ff83a0,0.2,4;5;10,event_global,1,26,198.0,0,0.0,3.098425945994677,26,16,0,0,2136,2136,0
29,26d15bf20359cf8f7014f82d1c9074ea2c74c6d6a6596fc11fe5cae4b3ff83a0,0.2,4;5;10,local_repair,1,68,262.0,0,0.0,0.9017392940004356,68,6,6,0,331,331,0
29,26d15bf20359cf8f7014f82d1c9074ea2c74c6d6a6596fc11fe5cae4b3ff83a0,0.2,4;5;10,lock_aware,1,26,198.0,0,0.0,2.437078818998998,26,18,5,17,1231,1231,0
