seed,scenario_fingerprint,failure_rate,failed_agent_ids,method,success,iterations,total_distance,blocked_moves,redundancy,runtime_seconds,assignment_requests,global_assignment_calls,local_repair_calls,lock_escalations,path_cost_evaluations,successful_astar_queries,unreachable_astar_queries
8,f894db0ca9ffeb2a03a0c98851209adc13b5620ca80fd367086baecdae577100,0.0,,event_global,1,23,179.0,0,0.0,2.1989488349936437,23,15,0,0,2250,2250,0
8,f894db0ca9ffeb2a03a0c98851209adc13b5620ca80fd367086baecdae577100,0.0,,local_repair,0,500,198.0,949,0.0,0.8006563329981873,500,5,5,0,316,316,0
8,f894db0ca9ffeb2a03a0c98851209adc13b5620ca80fd367086baecdae577100,0.0,,lock_aware,1,26,184.0,0,0.0,1.5431969970086357,26,21,4,20,1726,1726,0
9,c5b68cda855df34a54ff5824e57bf17637fe3922358404968f0ffe872081a926,0.0,,repeated,1,22,169.0,1,0.0,2.792049034993397,22,22,0,0,2730,2730,0
9,c5b68cda855df34a54ff5824e57bf17637fe3922358404968f0ffe872081a926,0.0,,event_global,1,22,169.0,1,0.0,1.8707995559962,22,14,0,0,1890,1890,0
9,c5b68cda855df34a54ff5824e57bf17637fe3922358404968f0ffe872081a926,0.0,,local_repair,0,500,166.0,496,0.0,0.9613803170068422,500,3,3,0,321,321,0
9,c5b68cda855df34a54ff5824e57bf17637fe3922358404968f0ffe872081a926,0.0,,lock_aware,1,22,171.0,1,0.0,2.5000150949927047,22,18,2,17,1776,1776,0
10,dcc1a9f295482eda76eb9995bd9ae4eb1c4d01b44d5dc6ed52ad323e90716ac1,0.0,,repeated,1,27,259.0,1,0.0,4.452936932997545,27,27,0,0,4245,4245,0
10,dcc1a9f295482eda76eb9995bd9ae4eb1c4d01b44d5dc6ed52ad323e90716ac1,0.0,,event_global,1,27,259.0,1,0.0,3.085075302995392,27,16,0,0,2775,2775,0
10,dcc1a9f295482eda76eb9995bd9ae4eb1c4d01b44d5dc6ed52ad323e90716ac1,0.0,,local_repair,0,500,326.0,962,0.0,0.5780463309929473,500,6,6,0,315,315,0
10,dcc1a9f295482eda76eb9995bd9ae4eb1c4d01b44d5dc6ed52ad323e90716ac1,0.0,,lock_aware,1,27,266.0,4,0.0,1.7891316719906172,27,19,5,18,2340,2340,0
11,a7d8aef04b886f8a20cc0f8a3fbc89ba1239b750d9810461f29fcf91ca3f4150,0.0,,repeated,1,27,190.0,0,0.0,2.67151633699541,27,27,0,0,3135,3135,0
11,a7d8aef04b886f8a20cc0f8a3fbc89ba1239b750d9810461f29fcf91ca3f4150,0.0,,event_global,1,27,190.0,0,0.0,1.556670687001315,27,14,0,0,2055,2055,0
11,a7d8aef04b886f8a20cc0f8a3fbc89ba1239b750d9810461f29fcf91ca3f4150,0.0,,local_repair,0,500,239.0,482,0.0,1.571983697998803,500,5,5,0,316,316,0
11,a7d8aef04b886f8a20cc0f8a3fbc89ba1239b750d9810461f29fcf91ca3f4150,0.0,,lock_aware,1,29,195.0,0,0.0,1.5289214099902892,29,23,4,22,1666,1666,0
12,7a8e524d931398773b487a14d2285991117314ddb6d63bf0c8d28a77a51c504b,0.0,,repeated,1,20,212.0,0,0.0,2.2156236589944456,20,20,0,0,3675,3675,0
12,7a8e524d931398773b487a14d2285991117314ddb6d63bf0c8d28a77a51c504b,0.0,,event_global,1,20,212.0,0,0.0,1.2303089060005732,20,13,0,0,1995,1995,0
12,7a8e524d931398773b487a14d2285991117314ddb6d63bf0c8d28a77a51c504b,0.0,,local_repair,0,500,258.0,981,0.0,0.6086606419994496,500,4,4,0,319,319,0
12,7a8e524d931398773b487a14d2285991117314ddb6d63bf0c8d28a77a51c504b,0.0,,lock_aware,1,20,215.0,0,0.0,0.9933927569945809,20,12,3,11,1534,1534,0
13,98aed25e5e736f72e2a01082390ca483dfe4958333720301fed29c4428c87d35,0.0,,repeated,1,24,190.0,1,0.0,1.9705439020035556,24,24,0,0,3045,3045,0
13,98aed25e5e736f72e2a01082390ca483dfe4958333720301fed29c4428c87d35,0.0,,event_global,1,24,190.0,1,0.0,1.2872586629964644,24,13,0,0,1965,1965,0
13,98aed25e5e736f72e2a01082390ca483dfe4958333720301fed29c4428c87d35,0.0,,local_repair,0,500,290.0,477,0.0,0.38823983298789244,500,4,4,0,319,319,0
13,98aed25e5e736f72e2a01082390ca483dfe4958333720301fed29c4428c87d35,0.0,,lock_aware,1,25,196.0,1,0.0,1.50197283399757,25,20,3,19,1939,1939,0
14,77b4aaca64e2ce9712d122b4d8dfe6bf8aa2e568d72a19493177363870fe1597,0.0,,repeated,1,18,159.0,1,0.0,1.913293337012874,18,18,0,0,2685,2685,0
14,77b4aaca64e2ce9712d122b4d8dfe6bf8aa2e568d72a19493177363870fe1597,0.0,,event_global,1,18,159.0,1,0.0,0.9995613399951253,18,10,0,0,1485,1485,0
