algorithm,seed,obstacle_density,success,iterations,completed_tasks,total_distance,productive_agents,blocked_moves,unreachable_plans,redundant_target_events,redundant_target_ratio
manhattan_greedy,15,0.05,True,22,20,318.0,12,12,0,216,0.6545454545454545
manhattan_greedy,16,0.05,True,37,20,553.0,10,2,0,434,0.781981981981982
manhattan_greedy,17,0.05,True,43,20,631.0,10,14,0,506,0.7844961240310078
manhattan_greedy,18,0.05,True,33,20,481.0,12,14,0,358,0.7232323232323232
manhattan_greedy,19,0.05,True,24,20,356.0,12,4,0,246,0.6833333333333333
manhattan_greedy,20,0.05,True,25,20,368.0,11,7,0,239,0.6373333333333333
manhattan_greedy,21,0.05,True,36,20,508.0,13,32,0,410,0.7592592592592593
manhattan_greedy,22,0.05,True,23,20,340.0,11,5,0,228,0.6608695652173913
manhattan_greedy,23,0.05,True,48,20,689.0,12,31,0,582,0.8083333333333333
manhattan_greedy,24,0.05,True,26,20,374.0,11,16,0,251,0.6435897435897436
manhattan_greedy,25,0.05,True,25,20,371.0,12,4,0,216,0.576
manhattan_greedy,26,0.05,True,42,20,622.0,9,8,0,506,0.8031746031746032
manhattan_greedy,27,0.05,True,28,20,418.0,13,2,0,315,0.75
manhattan_greedy,28,0.05,True,37,20,541.0,11,14,0,431,0.7765765765765765
manhattan_greedy,29,0.05,True,33,20,478.0,11,17,0,343,0.692929292929293
path_cost_greedy,0,0.05,True,24,20,355.0,11,5,0,237,0.6583333333333333
path_cost_greedy,1,0.05,True,19,20,279.0,12,6,0,172,0.6035087719298246
path_cost_greedy,2,0.05,True,27,20,387.0,11,18,0,278,0.6864197530864198
path_cost_greedy,3,0.05,True,21,20,305.0,12,10,0,203,0.6444444444444445
path_cost_greedy,4,0.05,True,21,20,299.0,9,16,0,196,0.6222222222222222
path_cost_greedy,5,0.05,True,25,20,365.0,10,10,0,253,0.6746666666666666
path_cost_greedy,6,0.05,True,25,20,367.0,13,8,0,251,0.6693333333333333
path_cost_greedy,7,0.05,True,22,20,324.0,11,6,0,218,0.6606060606060606
path_cost_greedy,8,0.05,True,47,20,691.0,10,14,0,558,0.7914893617021277
path_cost_greedy,9,0.05,True,59,20,844.0,10,41,0,747,0.8440677966101695
path_cost_greedy,10,0.05,True,27,20,396.0,9,9,0,275,0.6790123456790124
path_cost_greedy,11,0.05,True,16,20,235.0,10,5,0,135,0.5625
path_cost_greedy,12,0.05,True,18,20,264.0,13,6,0,149,0.5518518518518518
path_cost_greedy,13,0.05,True,29,20,420.0,10,15,0,292,0.671264367816092
path_cost_greedy,14,0.05,True,46,20,674.0,11,16,0,528,0.7652173913043478
path_cost_greedy,15,0.05,True,22,20,318.0,12,12,0,216,0.6545454545454545
path_cost_greedy,16,0.05,True,37,20,553.0,10,2,0,434,0.781981981981982
path_cost_greedy,17,0.05,True,50,20,674.0,11,76,0,596,0.7946666666666666
path_cost_greedy,18,0.05,True,33,20,481.0,12,14,0,358,0.7232323232323232
path_cost_greedy,19,0.05,True,24,20,356.0,12,4,0,246,0.6833333333333333
path_cost_greedy,20,0.05,True,25,20,368.0,11,7,0,239,0.6373333333333333
path_cost_greedy,21,0.05,True,36,20,534.0,14,6,0,408,0.7555555555555555
