algorithm,seed,failure_rate,failed_agents,success,iterations,tasks_completed,total_distance,productive_agents
greedy,1,0.2,3,True,8,20,287.8247590081606,11
greedy,2,0.2,3,True,6,20,213.213277748346,13
greedy,3,0.2,3,True,9,20,315.9047919646601,12
greedy,4,0.2,3,True,9,20,305.43384020141207,12
greedy,5,0.2,3,True,6,20,215.33558540727137,11
greedy,6,0.2,3,True,11,20,379.627636614247,10
greedy,7,0.2,3,True,7,20,250.9092798427734,12
greedy,8,0.2,3,True,10,20,353.04442572672656,10
greedy,9,0.2,3,True,9,20,317.9437033454591,9
greedy,10,0.2,3,True,11,20,383.3435048666219,8
greedy,11,0.2,3,True,10,20,350.1742017650363,11
greedy,12,0.2,3,True,12,20,418.123590848092,8
greedy,13,0.2,3,True,11,20,379.81116138471685,13
greedy,14,0.2,3,True,10,20,346.7990499870724,11
greedy,15,0.2,3,True,14,20,479.25390316505116,11
greedy,16,0.2,3,True,8,20,283.4910865850838,11
greedy,17,0.2,3,True,6,20,217.7948135535976,10
greedy,18,0.2,3,True,11,20,381.71524707127304,11
greedy,19,0.2,3,True,10,20,348.90261575199804,9
greedy,20,0.2,3,True,9,20,317.88431546408594,12
greedy,21,0.2,3,True,22,20,735.9133340343851,11
greedy,22,0.2,3,True,10,20,346.58283160257463,11
greedy,23,0.2,3,True,7,20,251.87154906593193,10
greedy,24,0.2,3,True,8,20,287.1209452263072,9
greedy,25,0.2,3,True,8,20,284.4596073349915,10
greedy,26,0.2,3,True,6,20,217.43938947195508,13
greedy,27,0.2,3,True,7,20,247.0477210382025,12
greedy,28,0.2,3,True,6,20,219.34839868644752,12
greedy,29,0.2,3,True,9,20,317.93801463883955,12
fixed_pso,0,0.2,3,True,13,20,448.0085007235841,10
fixed_pso,1,0.2,3,True,9,20,310.9876692220444,10
fixed_pso,2,0.2,3,True,12,20,403.05640527017283,13
fixed_pso,3,0.2,3,True,13,20,431.14497454277307,12
fixed_pso,4,0.2,3,True,12,20,397.9573113054583,13
fixed_pso,5,0.2,3,True,8,20,276.4019457779564,12
fixed_pso,6,0.2,3,True,11,20,373.5503509987266,10
fixed_pso,7,0.2,3,True,8,20,269.7137380155495,13
fixed_pso,8,0.2,3,True,12,20,403.96182383773436,12
fixed_pso,9,0.2,3,True,16,20,550.5385912342949,10
fixed_pso,10,0.2,3,True,12,20,407.77154418816247,11
fixed_pso,11,0.2,3,True,13,20,429.11825701184205,11
fixed_pso,12,0.2,3,True,13,20,448.6158773345876,9
fixed_pso,13,0.2,3,True,11,20,373.71258872812496,11
fixed_pso,14,0.2,3,True,10,20,336.38749648162553,11
fixed_pso,15,0.2,3,True,14,20,465.00141292475666,10
fixed_pso,16,0.2,3,True,11,20,368.868727326595,11
fixed_pso,17,0.2,3,True,8,20,268.54846275969135,10
fixed_pso,18,0.2,3,True,12,20,409.4961480483754,10
fixed_pso,19,0.2,3,True,11,20,376.6705137178842,8
fixed_pso,20,0.2,3,True,10,20,344.87316551113594,10
fixed_pso,21,0.2,3,True,22,20,741.4441922479471,12
fixed_pso,22,0.2,3,True,10,20,341.88237538880514,11
fixed_pso,23,0.2,3,True,8,20,271.06066573878167,11
fixed_pso,24,0.2,3,True,12,20,406.03252560914484,8
fixed_pso,25,0.2,3,True,7,20,235.23068603203276,12
fixed_pso,26,0.2,3,True,6,20,212.51217460207943,12
fixed_pso,27,0.2,3,True,9,20,304.6980276905331,10
fixed_pso,28,0.2,3,True,8,20,278.2031236166173,11
fixed_pso,29,0.2,3,True,11,20,374.3956192712996,12
dynamic_pso,0,0.2,3,True,13,20,444.04103302557553,10
dynamic_pso,1,0.2,3,True,9,20,306.8862935638303,10
dynamic_pso,2,0.2,3,True,11,20,371.5681509114723,13
dynamic_pso,3,0.2,3,True,12,20,400.02919155436643,11
dynamic_pso,4,0.2,3,True,11,20,367.2700800369941,13
dynamic_pso,5,0.2,3,True,8,20,272.16844803092977,12
dynamic_pso,6,0.2,3,True,11,20,367.4278609476996,11
dynamic_pso,7,0.2,3,True,7,20,234.89001561063031,13
dynamic_pso,8,0.2,3,True,14,20,467.644381495827,12
dynamic_pso,9,0.2,3,True,17,20,576.7503329934833,10
dynamic_pso,10,0.2,3,True,12,20,405.5546819669577,11
dynamic_pso,11,0.2,3,True,13,20,424.6145777315982,11
dynamic_pso,12,0.2,3,True,13,20,445.31499552488833,9
dynamic_pso,13,0.2,3,True,11,20,366.75940212261673,11
dynamic_pso,14,0.2,3,True,10,20,334.2494990773525,11
dynamic_pso,15,0.2,3,True,14,20,464.41795895978566,10
dynamic_pso,16,0.2,3,True,11,20,365.2382570892504,11
dynamic_pso,17,0.2,3,True,8,20,266.5232485002199,11
dynamic_pso,18,0.2,3,True,12,20,406.33763726538643,11
dynamic_pso,19,0.2,3,True,11,20,370.66556047170735,9
dynamic_pso,20,0.2,3,True,9,20,302.9221734744195,10
dynamic_pso,21,0.2,3,True,22,20,738.217687882339,12
dynamic_pso,22,0.2,3,True,10,20,338.9260307457884,11
dynamic_pso,23,0.2,3,True,8,20,269.75473006745796,12
dynamic_pso,24,0.2,3,True,12,20,403.3582869983561,8
dynamic_pso,25,0.2,3,True,7,20,231.7915788172497,12
dynamic_pso,26,0.2,3,True,6,20,207.67071040767806,12
dynamic_pso,27,0.2,3,True,9,20,302.01009807385736,10
dynamic_pso,28,0.2,3,True,8,20,275.6772484096138,10
dynamic_pso,29,0.2,3,True,11,20,370.6135860495031,13
greedy,0,0.4,6,True,12,20,343.6343002764946,8
greedy,1,0.4,6,True,10,20,293.2402128545306,12
greedy,2,0.4,6,True,6,20,188.52821698404034,14
greedy,3,0.4,6,True,9,20,265.5047919646601,12
greedy,4,0.4,6,True,9,20,254.2190929050726,12
greedy,5,0.4,6,True,9,20,264.91760614813813,12
greedy,6,0.4,6,True,13,20,368.0881983619564,10
greedy,7,0.4,6,True,15,20,418.60080560360814,12
greedy,8,0.4,6,True,12,20,345.34262912616396,10
greedy,9,0.4,6,True,10,20,293.906718438389,9
greedy,10,0.4,6,True,11,20,316.4171640842699,10
greedy,11,0.4,6,True,10,20,291.9590439419451,12
greedy,12,0.4,6,True,12,20,342.5957250787498,9
greedy,13,0.4,6,True,11,20,312.55067267500783,14
greedy,14,0.4,6,True,11,20,313.0286587094276,11
greedy,15,0.4,6,True,14,20,386.63193108680207,10
greedy,16,0.4,6,True,13,20,360.15820161871443,12
greedy,17,0.4,6,True,6,20,192.56756458273713,10
greedy,18,0.4,6,True,12,20,340.2143410465563,10
greedy,19,0.4,6,True,12,20,340.666763509013,9
greedy,20,0.4,6,True,17,20,468.50950849168305,11
greedy,21,0.4,6,True,16,20,436.70054527174335,10
greedy,22,0.4,6,True,13,20,364.769383683218,10
greedy,23,0.4,6,True,12,20,343.1848701879279,11
greedy,24,0.4,6,True,10,20,294.69020701781477,11
greedy,25,0.4,6,True,9,20,269.2195173717499,11
greedy,26,0.4,6,True,8,20,245.0901797063706,11
greedy,27,0.4,6,True,8,20,240.43570213523256,11
greedy,28,0.4,6,True,9,20,267.977776027299,12
greedy,29,0.4,6,True,17,20,465.55475154055097,12
fixed_pso,0,0.4,6,True,17,20,462.14788516284756,10
fixed_pso,1,0.4,6,True,12,20,337.3021950788571,12
fixed_pso,2,0.4,6,True,13,20,354.8485971527689,14
fixed_pso,3,0.4,6,True,13,20,348.7306792942584,11
fixed_pso,4,0.4,6,True,8,20,228.07999339253678,12
fixed_pso,5,0.4,6,True,12,20,333.15932291195395,12
fixed_pso,6,0.4,6,True,12,20,340.7905770611446,13
fixed_pso,7,0.4,6,True,18,20,474.9757637732621,12
fixed_pso,8,0.4,6,True,15,20,404.20866078193626,12
fixed_pso,9,0.4,6,True,14,20,383.5493609292548,10
fixed_pso,10,0.4,6,True,13,20,359.38962032982147,12
fixed_pso,11,0.4,6,True,12,20,320.61799020444795,11
fixed_pso,12,0.4,6,True,9,20,263.4915142833654,11
fixed_pso,13,0.4,6,True,11,20,303.86911146226186,12
fixed_pso,14,0.4,6,True,9,20,254.42513244291044,12
fixed_pso,15,0.4,6,True,14,20,373.7896573891774,11
fixed_pso,16,0.4,6,True,11,20,303.0707372436801,12
fixed_pso,17,0.4,6,True,9,20,245.15294097212535,12
fixed_pso,18,0.4,6,True,17,20,461.25214346535427,11
fixed_pso,19,0.4,6,True,14,20,386.1505184515037,9
fixed_pso,20,0.4,6,True,22,20,589.2114249526376,9
