seed,algorithm,num_agents,num_tasks,obstacle_density,success,iterations,total_distance,productive_agents,blocked_moves,redundant_target_ratio,runtime_seconds
22,path_cost_greedy,15,20,0.2,1,21,311.0,10,4,0.6190476190476191,1.9507498360035243
22,hungarian_astar,15,20,0.2,1,18,173.0,15,0,0.0,1.9491159500030335
23,manhattan_greedy,15,20,0.2,1,26,371.0,12,19,0.6153846153846154,0.08302095399994869
23,path_cost_greedy,15,20,0.2,1,30,444.0,13,6,0.6844444444444444,2.6673552170032053
23,hungarian_astar,15,20,0.2,1,19,175.0,15,0,0.0,2.273511185005191
24,manhattan_greedy,15,20,0.2,1,33,478.0,14,17,0.694949494949495,0.27247981799882837
24,path_cost_greedy,15,20,0.2,1,33,469.0,13,26,0.7232323232323232,3.2392314930038992
24,hungarian_astar,15,20,0.2,1,21,168.0,13,0,0.0,2.5408556510010385
25,manhattan_greedy,15,20,0.2,1,27,394.0,12,11,0.6592592592592592,0.14236988299671793
25,path_cost_greedy,15,20,0.2,1,27,394.0,12,11,0.6962962962962963,2.601767560998269
25,hungarian_astar,15,20,0.2,1,23,166.0,14,3,0.0,2.3133131270005833
26,manhattan_greedy,15,20,0.2,1,36,537.0,9,3,0.7203703703703703,0.1255469300012919
26,path_cost_greedy,15,20,0.2,1,36,533.0,9,7,0.7092592592592593,3.208394565997878
26,hungarian_astar,15,20,0.2,1,30,315.0,12,0,0.0,3.6309148900036234
27,manhattan_greedy,15,20,0.2,1,32,463.0,12,17,0.65625,0.15010943700326607
27,path_cost_greedy,15,20,0.2,1,45,642.0,12,33,0.7881481481481482,3.118313641003624
27,hungarian_astar,15,20,0.2,1,23,195.0,13,0,0.0,2.229789126999094
28,manhattan_greedy,15,20,0.2,1,19,279.0,10,6,0.6666666666666666,0.059884255002543796
28,path_cost_greedy,15,20,0.2,1,19,275.0,11,10,0.6526315789473685,1.6174934200025746
28,hungarian_astar,15,20,0.2,1,15,130.0,13,0,0.0,1.5993526699967333
29,manhattan_greedy,15,20,0.2,1,33,482.0,11,13,0.7212121212121212,0.40506980000645854
29,path_cost_greedy,15,20,0.2,1,33,488.0,12,7,0.7313131313131314,3.686278039996978
29,hungarian_astar,15,20,0.2,1,24,176.0,14,0,0.0,2.9496511350007495
