seed,scenario_fingerprint,algorithm,num_agents,num_tasks,obstacle_density,success,iterations,total_distance,productive_agents,blocked_moves,redundant_target_ratio,runtime_seconds
11,06befd4fa67eabc785ae44b953dee447e5b5906dd9bd4435ad50c206bd3fd6d4,hungarian_astar,5,10,0.2,1,45,187.0,5,0,0.0,0.8242870210087858
12,d2e39474d14064867f4a0cfa86a60d88706750cf310c73c517971bcc6f86b32e,manhattan_greedy,5,10,0.2,1,59,289.0,4,6,0.4406779661016949,0.0968689639994409
12,d2e39474d14064867f4a0cfa86a60d88706750cf310c73c517971bcc6f86b32e,path_cost_greedy,5,10,0.2,1,61,303.0,4,2,0.5475409836065573,1.20064566200017
12,d2e39474d14064867f4a0cfa86a60d88706750cf310c73c517971bcc6f86b32e,hungarian_astar,5,10,0.2,1,49,176.0,5,0,0.0,0.9309260719892336
13,7d164f8e0f0b74cd17fd3dbd1d4cb50fcb5103a237af23329edc90278e6887a4,manhattan_greedy,5,10,0.2,1,33,165.0,3,0,0.5333333333333333,0.04485846101306379
13,7d164f8e0f0b74cd17fd3dbd1d4cb50fcb5103a237af23329edc90278e6887a4,path_cost_greedy,5,10,0.2,1,33,165.0,3,0,0.5333333333333333,0.7493442100094398
13,7d164f8e0f0b74cd17fd3dbd1d4cb50fcb5103a237af23329edc90278e6887a4,hungarian_astar,5,10,0.2,1,33,135.0,4,0,0.0,0.8541929540078854
14,d6ab6ddf94162f5d70373b7f0e167eb896caec082843437326557fbc6c2ff313,manhattan_greedy,5,10,0.2,1,39,194.0,4,1,0.4666666666666667,0.05265000500367023
14,d6ab6ddf94162f5d70373b7f0e167eb896caec082843437326557fbc6c2ff313,path_cost_greedy,5,10,0.2,1,31,155.0,5,0,0.34838709677419355,0.3971047759987414
14,d6ab6ddf94162f5d70373b7f0e167eb896caec082843437326557fbc6c2ff313,hungarian_astar,5,10,0.2,1,35,123.0,5,0,0.0,0.4085872260038741
15,dd1192d0874ea2158c80dd4f1dfbc7c99fa72faa9ab90f6f2ca4c210e11d8689,manhattan_greedy,5,10,0.2,1,31,153.0,5,2,0.41935483870967744,0.05509066898957826
15,dd1192d0874ea2158c80dd4f1dfbc7c99fa72faa9ab90f6f2ca4c210e11d8689,path_cost_greedy,5,10,0.2,1,30,150.0,4,0,0.4666666666666667,0.7214095200033626
15,dd1192d0874ea2158c80dd4f1dfbc7c99fa72faa9ab90f6f2ca4c210e11d8689,hungarian_astar,5,10,0.2,1,34,114.0,5,0,0.0,0.6612669030000689
16,a070a8db10493812f3444a928087875a0aa316828769a80df636d8b66c809537,manhattan_greedy,5,10,0.2,1,30,150.0,5,0,0.3933333333333333,0.10133207999751903
16,a070a8db10493812f3444a928087875a0aa316828769a80df636d8b66c809537,path_cost_greedy,5,10,0.2,1,30,150.0,5,0,0.38666666666666666,0.6667302910063881
16,a070a8db10493812f3444a928087875a0aa316828769a80df636d8b66c809537,hungarian_astar,5,10,0.2,1,30,97.0,5,0,0.0,0.6214092700101901
17,178e7d22102fd57b8e1dcbf7ef5dc4303b001b87db993b18b7e21fe3ed439538,manhattan_greedy,5,10,0.2,1,32,158.0,4,2,0.43125,0.12602050400164444
17,178e7d22102fd57b8e1dcbf7ef5dc4303b001b87db993b18b7e21fe3ed439538,path_cost_greedy,5,10,0.2,1,34,168.0,4,2,0.4647058823529412,0.45959506199869793
17,178e7d22102fd57b8e1dcbf7ef5dc4303b001b87db993b18b7e21fe3ed439538,hungarian_astar,5,10,0.2,1,33,113.0,5,0,0.0,0.4702906620077556
18,88ffb01f3178f53680bab06c53bb669bdc388e664eaa0a386f9a575c7ce35aa3,manhattan_greedy,5,10,0.2,1,59,290.0,5,5,0.49491525423728816,0.058990167002775706
18,88ffb01f3178f53680bab06c53bb669bdc388e664eaa0a386f9a575c7ce35aa3,path_cost_greedy,5,10,0.2,1,59,290.0,5,5,0.5457627118644067,0.7611348979989998
