seed,scenario_fingerprint,algorithm,num_agents,num_tasks,obstacle_density,success,iterations,total_distance,productive_agents,blocked_moves,redundant_target_ratio,runtime_seconds
11,7d90053cd559bb94263f1edb59b91ad573fbce1faf92e1e12dc673823e9f7056,hungarian_astar,15,20,0.0,1,23,159.0,14,0,0.0,3.4038712389956345
12,e2030f76ffb884355ee0fc2d8d8e2b1c4aa97274b0d7e6ea49dff354518b4020,manhattan_greedy,15,20,0.0,1,15,223.0,11,2,0.48,0.043894933005503844
12,e2030f76ffb884355ee0fc2d8d8e2b1c4aa97274b0d7e6ea49dff354518b4020,path_cost_greedy,15,20,0.0,1,15,223.0,11,2,0.48,2.4898848140001064
12,e2030f76ffb884355ee0fc2d8d8e2b1c4aa97274b0d7e6ea49dff354518b4020,hungarian_astar,15,20,0.0,1,19,158.0,13,0,0.0,2.3870765790052246
13,c49fe4875e176d9d85d710a5e6dc11b4b712c2af034f425c3a6741add0c304c9,manhattan_greedy,15,20,0.0,1,27,397.0,10,8,0.7160493827160493,0.08819501099787885
13,c49fe4875e176d9d85d710a5e6dc11b4b712c2af034f425c3a6741add0c304c9,path_cost_greedy,15,20,0.0,1,27,397.0,10,8,0.7160493827160493,1.4623262280001654
13,c49fe4875e176d9d85d710a5e6dc11b4b712c2af034f425c3a6741add0c304c9,hungarian_astar,15,20,0.0,1,29,228.0,14,3,0.0,1.9909113179965061
14,72eead4691f5268eb574cce418fc38a174ca53cee596874da672b23e1f19eca9,manhattan_greedy,15,20,0.0,1,31,460.0,11,5,0.6860215053763441,0.11057926200010115
14,72eead4691f5268eb574cce418fc38a174ca53cee596874da672b23e1f19eca9,path_cost_greedy,15,20,0.0,1,31,460.0,11,5,0.6860215053763441,2.4692307939985767
14,72eead4691f5268eb574cce418fc38a174ca53cee596874da672b23e1f19eca9,hungarian_astar,15,20,0.0,1,23,164.0,13,0,0.0,2.1123207960044965
15,ccd12b12d1d62d677cbd89a083b90e25ca079fbc635058801cd86facd3fb1791,manhattan_greedy,15,20,0.0,1,35,491.0,11,34,0.7295238095238096,0.131628835995798
15,ccd12b12d1d62d677cbd89a083b90e25ca079fbc635058801cd86facd3fb1791,path_cost_greedy,15,20,0.0,1,35,491.0,11,34,0.7295238095238096,3.085087276995182
