seed,scenario_fingerprint,failure_rate,failed_agent_ids,method,success,iterations,total_distance,blocked_moves,redundancy,runtime_seconds,assignment_requests,global_assignment_calls,event_replans,periodic_replans
12,7a8e524d931398773b487a14d2285991117314ddb6d63bf0c8d28a77a51c504b,0.0,,repeated,1,20,212.0,0,0.0,2.5087688689964125,20,20,nan,nan
12,7a8e524d931398773b487a14d2285991117314ddb6d63bf0c8d28a77a51c504b,0.0,,event_global,1,20,212.0,0,0.0,1.377249867990031,20,13,12,0
12,7a8e524d931398773b487a14d2285991117314ddb6d63bf0c8d28a77a51c504b,0.0,,local_repair,0,500,258.0,981,0.0,0.6876600560062798,500,4,nan,nan
13,98aed25e5e736f72e2a01082390ca483dfe4958333720301fed29c4428c87d35,0.0,,repeated,1,24,190.0,1,0.0,2.1292129020002903,24,24,nan,nan
13,98aed25e5e736f72e2a01082390ca483dfe4958333720301fed29c4428c87d35,0.0,,event_global,1,24,190.0,1,0.0,1.317281458992511,24,13,12,0
13,98aed25e5e736f72e2a01082390ca483dfe4958333720301fed29c4428c87d35,0.0,,local_repair,0,500,290.0,477,0.0,0.4095040280080866,500,4,nan,nan
14,77b4aaca64e2ce9712d122b4d8dfe6bf8aa2e568d72a19493177363870fe1597,0.0,,repeated,1,18,159.0,1,0.0,1.926608124995255,18,18,nan,nan
14,77b4aaca64e2ce9712d122b4d8dfe6bf8aa2e568d72a19493177363870fe1597,0.0,,event_global,1,18,159.0,1,0.0,0.9752929420064902,18,10,9,0
14,77b4aaca64e2ce9712d122b4d8dfe6bf8aa2e568d72a19493177363870fe1597,0.0,,local_repair,1,25,175.0,2,0.0,0.25068498999462463,25,3,nan,nan
15,9375cfe2eec4b264788eb9d8553e12931a7047555fa3632e2a5436593ff11ae1,0.0,,repeated,1,22,172.0,0,0.0,2.0568637609976577,22,22,nan,nan
15,9375cfe2eec4b264788eb9d8553e12931a7047555fa3632e2a5436593ff11ae1,0.0,,event_global,1,22,172.0,0,0.0,1.3500932140013902,22,12,11,0
15,9375cfe2eec4b264788eb9d8553e12931a7047555fa3632e2a5436593ff11ae1,0.0,,local_repair,0,500,186.0,1442,0.0,0.740747743009706,500,4,nan,nan
