seed,scenario_fingerprint,failure_rate,failed_agent_ids,method,success,iterations,total_distance,blocked_moves,redundancy,runtime_seconds,assignment_requests,global_assignment_calls,event_replans,periodic_replans
20,b1a14a7f0c8df2360dbb0feeb1e68684fdb31869f272dff1da2983d0b115d4ee,0.2,0;1;3,local_repair,1,63,262.0,1,0.0,0.25841262300673407,63,7,nan,nan
21,00bdac501a4c9641257628d2b27440d7406eec5b3ef0acb2a0c00bff5acaf731,0.2,1;2;11,repeated,1,33,286.0,2,0.0,3.6093255870073335,33,33,nan,nan
21,00bdac501a4c9641257628d2b27440d7406eec5b3ef0acb2a0c00bff5acaf731,0.2,1;2;11,event_global,1,33,286.0,2,0.0,2.0137038149987347,33,16,15,0
21,00bdac501a4c9641257628d2b27440d7406eec5b3ef0acb2a0c00bff5acaf731,0.2,1;2;11,local_repair,0,500,316.0,977,0.0,0.7042940449900925,500,9,nan,nan
22,d902a0198fd731553b9101de4d11d0254542872b640ca6b3b06eea2ab489b9dd,0.2,0;2;5,repeated,1,22,198.0,0,0.0,1.6243671059928602,22,22,nan,nan
22,d902a0198fd731553b9101de4d11d0254542872b640ca6b3b06eea2ab489b9dd,0.2,0;2;5,event_global,1,22,198.0,0,0.0,1.0120695169898681,22,13,12,0
22,d902a0198fd731553b9101de4d11d0254542872b640ca6b3b06eea2ab489b9dd,0.2,0;2;5,local_repair,1,33,246.0,0,0.0,0.21170662199438084,33,7,nan,nan
23,07934270464130f11474705e989b5f024181a376da2d424144333bd097c9b727,0.2,4;10;13,repeated,1,21,180.0,0,0.0,1.514802410005359,21,21,nan,nan
23,07934270464130f11474705e989b5f024181a376da2d424144333bd097c9b727,0.2,4;10;13,event_global,1,21,180.0,0,0.0,1.0442183580016717,21,13,12,0
23,07934270464130f11474705e989b5f024181a376da2d424144333bd097c9b727,0.2,4;10;13,local_repair,0,500,242.0,464,0.0,0.3182569319906179,500,6,nan,nan
24,547dea9c1e76cff0b352f8b7a622b050c74691bfc473f9cdfc5738bcbdda3834,0.2,1;6;13,repeated,1,26,185.0,0,0.0,1.9394156310008839,26,26,nan,nan
24,547dea9c1e76cff0b352f8b7a622b050c74691bfc473f9cdfc5738bcbdda3834,0.2,1;6;13,event_global,1,26,185.0,0,0.0,1.496295180011657,26,16,15,0
24,547dea9c1e76cff0b352f8b7a622b050c74691bfc473f9cdfc5738bcbdda3834,0.2,1;6;13,local_repair,0,500,265.0,461,0.0,0.32483007399423514,500,7,nan,nan
25,87d1f2ff502e93aca75f40d827d39dbc3e6579c0fb538c1a6b352c45b5472fbc,0.2,4;8;14,repeated,1,23,187.0,0,0.0,2.0288039580045734,23,23,nan,nan
25,87d1f2ff502e93aca75f40d827d39dbc3e6579c0fb538c1a6b352c45b5472fbc,0.2,4;8;14,event_global,1,23,187.0,0,0.0,1.5249341000017012,23,15,14,0
25,87d1f2ff502e93aca75f40d827d39dbc3e6579c0fb538c1a6b352c45b5472fbc,0.2,4;8;14,local_repair,0,500,274.0,475,0.0,0.3651156220003031,500,5,nan,nan
26,dd46e93ac1946a1c9502789c39673df427af893168b0309f4126b92f1df066fd,0.2,0;4;6,repeated,1,30,280.0,0,0.0,2.4808671840000898,30,30,nan,nan
26,dd46e93ac1946a1c9502789c39673df427af893168b0309f4126b92f1df066fd,0.2,0;4;6,event_global,1,30,280.0,0,0.0,1.4354980880016228,30,14,13,0
26,dd46e93ac1946a1c9502789c39673df427af893168b0309f4126b92f1df066fd,0.2,0;4;6,local_repair,0,500,335.0,468,0.0,0.36896629400143865,500,7,nan,nan
27,157c33620474ede024bb19583b72591c7148ea5ef66362319bb1b03dff946b3c,0.2,4;5;12,repeated,1,27,222.0,0,0.0,1.8107237639924278,27,27,nan,nan
27,157c33620474ede024bb19583b72591c7148ea5ef66362319bb1b03dff946b3c,0.2,4;5;12,event_global,1,27,222.0,0,0.0,1.1166424540133448,27,15,14,0
27,157c33620474ede024bb19583b72591c7148ea5ef66362319bb1b03dff946b3c,0.2,4;5;12,local_repair,1,44,275.0,1,0.0,0.24125028200796805,44,6,nan,nan
28,0b0090ab340fe847f5d113df6605f39bb1f6e473ca883688ec26ca82f9d86907,0.2,0;1;3,repeated,1,21,170.0,0,0.0,1.7967132829944603,21,21,nan,nan
28,0b0090ab340fe847f5d113df6605f39bb1f6e473ca883688ec26ca82f9d86907,0.2,0;1;3,event_global,1,21,170.0,0,0.0,1.341824244998861,21,13,12,0
28,0b0090ab340fe847f5d113df6605f39bb1f6e473ca883688ec26ca82f9d86907,0.2,0;1;3,local_repair,0,500,215.0,458,0.0,0.37548075600352604,500,6,nan,nan
29,26d15bf20359cf8f7014f82d1c9074ea2c74c6d6a6596fc11fe5cae4b3ff83a0,0.2,4;5;10,repeated,1,26,198.0,0,0.0,2.377307135000592,26,26,nan,nan
29,26d15bf20359cf8f7014f82d1c9074ea2c74c6d6a6596fc11fe5cae4b3ff83a0,0.2,4;5;10,event_global,1,26,198.0,0,0.0,1.5260445190069731,26,16,15,0
29,26d15bf20359cf8f7014f82d1c9074ea2c74c6d6a6596fc11fe5cae4b3ff83a0,0.2,4;5;10,local_repair,1,68,262.0,0,0.0,0.37631194600544404,68,6,nan,nan
