failure_rate,algorithm,n,success_rate,mean_iterations,sd_iterations,mean_distance,sd_distance,mean_productive_agents,mean_blocked_moves,mean_redundancy,mean_runtime
0.0,hungarian_astar,30,100.0,23.433333333333334,3.910051885477536,196.76666666666668,39.36012627304294,12.866666666666667,0.6666666666666666,0.0,3.0899446219331974
0.0,manhattan_greedy,30,100.0,34.06666666666667,8.622078049116547,490.1,121.16171866132272,10.6,20.9,0.7022226990045767,0.21879951810115014
0.0,path_cost_greedy,30,100.0,33.266666666666666,8.456514865957544,478.46666666666664,118.27079778709283,10.766666666666667,20.533333333333335,0.7048474102733576,3.5290513092666513
0.2,hungarian_astar,30,100.0,26.866666666666667,4.6068414891058636,216.53333333333333,36.13168762422693,12.0,0.7,0.0,4.128094166430916
0.2,manhattan_greedy,30,100.0,41.233333333333334,12.74060393018114,491.03333333333336,143.80889697989727,10.1,18.766666666666666,0.6729469276764992,0.27480866379870955
0.2,path_cost_greedy,30,100.0,43.06666666666667,13.930698755485741,510.93333333333334,154.97006014140237,10.033333333333333,20.866666666666667,0.6946383972486637,5.0379241331655065
0.4,hungarian_astar,30,100.0,32.06666666666667,6.175219294351686,227.76666666666668,34.53801836590626,10.733333333333333,0.6,0.0,2.0457260560365587
0.4,manhattan_greedy,30,100.0,47.666666666666664,18.281955176005418,445.76666666666665,153.69622599484177,9.833333333333334,13.233333333333333,0.6086264570162869,0.12729679736803515
0.4,path_cost_greedy,30,100.0,49.3,16.469721434739903,459.5,136.8161993836735,9.633333333333333,14.2,0.6366779671395567,2.4866229438014367
0.6,hungarian_astar,30,100.0,44.8,8.739131180678289,250.53333333333333,45.317830344428856,8.866666666666667,0.5666666666666667,0.0,2.848885238234652
0.6,manhattan_greedy,30,100.0,58.0,17.69667804400316,385.6666666666667,102.4251899692155,9.033333333333333,7.333333333333333,0.5297571582554125,0.14450447876733957
0.6,path_cost_greedy,30,100.0,59.4,16.996145607673565,394.06666666666666,98.88583920563298,8.9,7.333333333333333,0.5356380501665553,3.172843680266912
