failure_rate,method,n,success_rate,mean_iterations,sd_iterations,mean_distance,sd_distance,mean_calls,sd_calls,mean_runtime,sd_runtime
0.0,event_global,30,100.0,23.433333333333334,3.910051885477536,196.76666666666668,39.36012627304294,13.466666666666667,1.5477087254553343,1.5164805441648543,0.3128331196499127
0.0,local_repair,30,33.33333333333333,346.76666666666665,220.58834860488415,241.8,61.122488665708424,4.433333333333334,0.8976341829703132,0.45630229153466645,0.26385911175127463
0.0,repeated,30,100.0,23.433333333333334,3.910051885477536,196.76666666666668,39.36012627304294,23.433333333333334,3.910051885477536,2.372228188101144,0.6353784187503214
0.2,event_global,30,100.0,26.866666666666667,4.6068414891058636,216.53333333333333,36.13168762422693,14.433333333333334,1.7157150581957192,1.4786560660000154,0.3150904375892156
0.2,local_repair,30,36.666666666666664,333.6666666666667,222.47500182443332,263.76666666666665,46.59708688048133,6.266666666666667,1.2847469449832047,0.3998964125678564,0.1255117605907611
0.2,repeated,30,100.0,26.866666666666667,4.6068414891058636,216.53333333333333,36.13168762422693,26.866666666666667,4.6068414891058636,2.4520966603668057,0.5724870632640618
