condition,pairs,event_success,lock_success,event_mean_iterations,lock_mean_iterations,mean_iteration_difference_lock_minus_event,iteration_diff_ci95_low,iteration_diff_ci95_high,iteration_wilcoxon_p,iteration_rank_biserial,iteration_lock_better,iteration_ties,iteration_event_better,event_mean_distance,lock_mean_distance,mean_distance_difference_lock_minus_event,distance_diff_ci95_low,distance_diff_ci95_high,distance_wilcoxon_p,distance_rank_biserial,distance_lock_better,distance_ties,distance_event_better,event_mean_astar,lock_mean_astar,mean_astar_difference_lock_minus_event,astar_diff_ci95_low,astar_diff_ci95_high,mean_paired_astar_reduction_percent,median_paired_astar_reduction_percent,astar_reduction_ci95_low,astar_reduction_ci95_high,astar_wilcoxon_p,astar_rank_biserial,astar_lock_better,astar_ties,astar_event_better,event_mean_global_calls,lock_mean_global_calls,mean_global_call_difference_lock_minus_event,lock_mean_local_repairs,lock_mean_escalations,event_mean_runtime,lock_mean_runtime,mean_paired_runtime_reduction_percent,median_paired_runtime_reduction_percent,runtime_wilcoxon_p,runtime_lock_faster,runtime_ties,runtime_event_faster
static,30,30,30,23.433333333333334,23.933333333333334,0.5,0.03333333333333333,1.0,0.060711303396109306,0.5824175824175825,3,17,10,196.76666666666668,198.36666666666667,1.6,-0.5,3.566666666666667,0.06151589826988656,0.4188034188034188,9,4,17,2076.0,1862.1333333333334,-213.86666666666667,-319.73583333333335,-95.43000000000029,9.705225890796385,13.784735748604078,3.4968335373017907,15.075146662672674,0.0019634971185438412,-0.6473118279569893,25,0,5,13.466666666666667,18.466666666666665,5.0,3.433333333333333,17.466666666666665,4.476480637164301,2.586267959366766,12.696901423011422,14.586695205194466,0.00993151031434536,21,0,9
20pct_failure,30,30,30,26.866666666666667,28.2,1.3333333333333333,0.5333333333333333,2.2333333333333334,0.005575708332421608,0.7581699346405228,3,13,14,216.53333333333333,220.26666666666668,3.7333333333333334,0.0,7.933333333333334,0.15206361288063006,0.3148148148148148,9,3,18,1959.0,1430.0333333333333,-528.9666666666667,-686.1675,-366.43250000000006,25.515606164240072,31.122488167680864,17.377756565974128,32.84575218796768,3.2391399145126343e-06,-0.875268817204301,26,0,4,14.433333333333334,19.6,5.166666666666667,5.266666666666667,18.6,2.5585856365646276,1.9315548006658598,21.199911113787202,24.926153946711626,0.0005054883658885956,22,0,8
