failure_rate,method,success_count,success_rate_percent,mean_iterations_all,mean_iterations_success_only,mean_distance_all,mean_distance_success_only,mean_global_calls,mean_local_repairs,mean_lock_escalations,mean_astar,sd_astar,median_astar,mean_runtime_seconds,median_runtime_seconds
0.0,repeated,30,100.0,23.433333333333334,23.433333333333334,196.76666666666668,196.76666666666668,23.433333333333334,0.0,0.0,3227.0,641.6258980928437,3097.5,5.001541853933304,2.323375769003178
0.0,event_global,30,100.0,23.433333333333334,23.433333333333334,196.76666666666668,196.76666666666668,13.466666666666667,0.0,0.0,2076.0,292.3666804922698,2017.5,4.476480637164301,1.5658393374978914
0.0,local_repair,10,33.33333333333333,346.76666666666665,40.3,241.8,239.7,4.433333333333334,4.433333333333334,0.0,317.6333333333333,1.8473342085721578,317.0,0.9525325097337676,0.5112850610021269
0.0,lock_aware,30,100.0,23.933333333333334,23.933333333333334,198.36666666666667,198.36666666666667,18.466666666666665,3.433333333333333,17.466666666666665,1862.1333333333334,350.5176205254888,1811.0,2.586267959366766,1.4435622700038948
0.2,repeated,30,100.0,26.866666666666667,26.866666666666667,216.53333333333333,216.53333333333333,26.866666666666667,0.0,0.0,3178.2,534.4790180069327,3139.5,3.781537779266364,3.209958589504822
0.2,event_global,30,100.0,26.866666666666667,26.866666666666667,216.53333333333333,216.53333333333333,14.433333333333334,0.0,0.0,1959.0,291.61524012963054,1899.0,2.5585856365646276,2.0823431669923593
0.2,local_repair,11,36.666666666666664,333.6666666666667,46.36363636363637,263.76666666666665,250.27272727272728,6.266666666666667,6.266666666666667,0.0,327.4,4.255625080712139,326.5,0.7420032682013697,0.5072982755009434
0.2,lock_aware,30,100.0,28.2,28.2,220.26666666666668,220.26666666666668,19.6,5.266666666666667,18.6,1430.0333333333333,360.9211857162871,1339.0,1.9315548006658598,1.4975046190011199
