num_agents,num_tasks,algorithm,n,success_rate,mean_iterations,sd_iterations,mean_distance,sd_distance,mean_productive_agents,mean_blocked_moves,mean_redundancy,mean_runtime,sd_runtime
5,10,hungarian_astar,30,100.0,40.833333333333336,9.093701243105063,145.5,30.454884665682126,4.866666666666666,0.13333333333333333,0.0,0.7332487214017116,0.2864891875763863
5,10,manhattan_greedy,30,100.0,54.46666666666667,24.951999896813376,266.7,118.64236319640462,4.333333333333333,5.633333333333334,0.5382185921835931,0.11864262360128724,0.11600803877381417
5,10,path_cost_greedy,30,100.0,51.93333333333333,22.258564153173033,254.7,104.7871899251707,4.333333333333333,4.966666666666667,0.5263338271621736,0.8566665178645053,0.4279999412690372
10,10,hungarian_astar,30,100.0,23.6,5.636090599110284,122.9,25.423787395217914,7.7,0.23333333333333334,0.0,1.148955117665173,0.6973972756817143
10,10,manhattan_greedy,30,100.0,34.266666666666666,13.972715613265567,333.06666666666666,132.66003564552238,6.4,9.6,0.693025075905746,0.13357872260142659,0.09092235667180684
10,10,path_cost_greedy,30,100.0,32.1,11.018323296938698,313.3333333333333,105.27249807321336,6.3,7.666666666666667,0.6893443184702598,1.2340184849007831,0.7018076202538316
15,20,hungarian_astar,30,100.0,23.433333333333334,3.910051885477536,196.76666666666668,39.36012627304294,12.866666666666667,0.6666666666666666,0.0,2.3384207931987477,0.8166183442547251
15,20,manhattan_greedy,30,100.0,34.06666666666667,8.622078049116547,490.1,121.16171866132272,10.6,20.9,0.7022226990045767,0.17458964483230371,0.10487635449759779
15,20,path_cost_greedy,30,100.0,33.266666666666666,8.456514865957544,478.46666666666664,118.27079778709283,10.766666666666667,20.533333333333335,0.7048474102733576,2.8228976509009955,1.2082351554203896
20,20,hungarian_astar,30,100.0,17.433333333333334,3.2555875928490448,161.4,25.541852064729994,15.0,0.7,0.0,2.239695935199173,0.64313085128641
20,20,manhattan_greedy,30,100.0,25.466666666666665,7.064888086740009,491.5,138.68041902406287,12.833333333333334,17.833333333333332,0.74114893643037,0.19416856976652824,0.14301013152941022
20,20,path_cost_greedy,30,100.0,24.5,6.760687579804597,471.76666666666665,128.99871245904725,12.9,18.233333333333334,0.7399827769538988,2.54601716016817,0.8968268059137533
20,30,hungarian_astar,30,100.0,20.7,3.5149925197350154,242.2,37.048337484222245,17.866666666666667,1.1,0.0,3.696531005766398,1.1148444106310522
20,30,manhattan_greedy,30,100.0,30.6,8.624743874258048,586.1,157.4202261026419,15.433333333333334,25.9,0.6932414860377819,0.19239071420015533,0.10631181981648996
20,30,path_cost_greedy,30,100.0,32.1,8.790080616318562,608.9,160.657775067549,15.633333333333333,33.1,0.7105723022747484,4.297343901635031,1.3492643150087422
30,30,hungarian_astar,30,100.0,14.066666666666666,1.9815238534040398,198.46666666666667,20.530437174466414,21.7,1.8666666666666667,0.0,3.862697331167874,0.6786210885096234
30,30,manhattan_greedy,30,100.0,20.666666666666668,5.121511989390562,590.4333333333333,143.25903313478221,18.933333333333334,29.566666666666666,0.7466465092568859,0.1931375990301603,0.08995975923773694
30,30,path_cost_greedy,30,100.0,21.133333333333333,5.367419808650974,598.4333333333333,143.929504615456,18.866666666666667,35.56666666666667,0.7571364056353153,4.32127954326667,1.0337067702081566
