obstacle_density,algorithm,n,success_rate,mean_iterations,sd_iterations,mean_distance,sd_distance,mean_productive_agents,mean_blocked_moves,mean_redundancy,mean_runtime
0.0,hungarian_astar,30,100.0,20.966666666666665,3.9608718417952415,170.73333333333332,33.14017598577014,13.066666666666666,0.36666666666666664,0.0,3.0171484891325235
0.0,manhattan_greedy,30,100.0,29.666666666666668,7.198339527559324,430.3,101.85322434928031,11.1,14.7,0.6999118640186279,0.20775939079976521
0.0,path_cost_greedy,30,100.0,29.666666666666668,7.198339527559324,430.3,101.85322434928031,11.1,14.7,0.6999118640186279,3.4919638778337685
0.05,hungarian_astar,30,100.0,21.366666666666667,4.544669733710663,169.2,24.45178224940697,12.933333333333334,0.3,0.0,2.675587561799815
0.05,manhattan_greedy,30,100.0,30.133333333333333,10.146286337216274,439.8,146.66391324479198,11.033333333333333,12.2,0.6917418972658192,0.17344981126661876
0.05,path_cost_greedy,30,100.0,30.5,10.842922369787647,443.76666666666665,153.4029364762625,11.1,13.733333333333333,0.6960311640643652,2.8538876994326228
0.1,hungarian_astar,30,100.0,21.9,4.096676533568358,180.73333333333332,24.748296121542193,12.9,0.5,0.0,4.090715984299702
0.1,manhattan_greedy,30,100.0,30.9,7.975609370298059,447.46666666666664,110.15873604229846,10.833333333333334,16.033333333333335,0.6980136417154192,0.2624271897999278
0.1,path_cost_greedy,30,100.0,30.466666666666665,7.407979543677224,442.76666666666665,104.11753415991097,10.8,14.233333333333333,0.7026565585730318,4.073309100233018
0.15,hungarian_astar,30,100.0,22.6,3.519404338315181,182.7,24.84316321688302,12.766666666666667,0.26666666666666666,0.0,3.1420175229330196
0.15,manhattan_greedy,30,100.0,32.56666666666667,7.881376272836045,472.4,111.31799742954479,11.333333333333334,16.1,0.7019836198084963,0.22970642120077772
0.15,path_cost_greedy,30,100.0,33.233333333333334,8.173478275889451,480.8666666666667,116.15172400143595,11.233333333333333,17.633333333333333,0.7110762823846299,3.635396042699479
0.2,hungarian_astar,30,100.0,23.433333333333334,3.910051885477536,196.76666666666668,39.36012627304294,12.866666666666667,0.6666666666666666,0.0,4.1721519589666665
0.2,manhattan_greedy,30,100.0,34.06666666666667,8.622078049116547,490.1,121.16171866132272,10.6,20.9,0.7022226990045767,0.27796705293246
0.2,path_cost_greedy,30,100.0,33.266666666666666,8.456514865957544,478.46666666666664,118.27079778709283,10.766666666666667,20.533333333333335,0.7048474102733576,5.184181675067036
