condition,paired_runs,repeated_success_pct,event_success_pct,identical_iterations,identical_distance,repeated_mean_iterations,event_mean_iterations,repeated_mean_distance,event_mean_distance,repeated_mean_global_calls,event_mean_global_calls,mean_global_reduction_pct,median_global_reduction_pct,repeated_mean_astar,repeated_sd_astar,event_mean_astar,event_sd_astar,mean_astar_reduction_pct,median_astar_reduction_pct,min_astar_reduction_pct,max_astar_reduction_pct,astar_reduction_wins,astar_wilcoxon_stat,astar_wilcoxon_p,repeated_mean_runtime,event_mean_runtime,mean_runtime_reduction_pct,median_runtime_reduction_pct,runtime_wins,global_wilcoxon_stat,global_wilcoxon_p,runtime_wilcoxon_stat,runtime_wilcoxon_p
static,30,100.0,100.0,30,30,23.433333333333334,23.433333333333334,196.76666666666668,196.76666666666668,23.433333333333334,13.466666666666667,41.388248134725906,42.58241758241758,3227.0,641.6258980928437,2076.0,292.3666804922698,34.20486731040795,33.06878306878306,11.267605633802818,61.849710982658955,30,0.0,1.7289484360195754e-06,3.4710525726656973,2.2755159750343106,29.272854226179966,30.678954239786457,29,0.0,1.6436866614365985e-06,24.0,1.4193356037139893e-06
20% failure,30,100.0,100.0,30,30,26.866666666666667,26.866666666666667,216.53333333333333,216.53333333333333,26.866666666666667,14.433333333333334,45.34953388342822,44.09722222222222,3178.2,534.4790180069327,1959.0,291.61524012963054,37.474643363540764,37.82596119689666,21.15621156211562,58.22147651006711,30,0.0,1.732216233144114e-06,3.327328893899782,2.003611066932596,35.491746225362746,36.63611351187216,29,0.0,1.6752383396794872e-06,7.0,3.5390257835388184e-08
