baseline,metric,baseline_mean,hungarian_mean,mean_baseline_minus_hungarian,median_baseline_minus_hungarian,percent_reduction,wilcoxon_statistic,p_value,paired_effect_dz,hungarian_wins,ties,hungarian_losses,holm_adjusted_p
manhattan_greedy,iterations,34.06666666666667,23.433333333333334,10.633333333333333,9.0,31.21330724070451,1.0,2.7998179191685326e-06,1.4800022046568675,28,1,1,1.207219567270749e-05
manhattan_greedy,total_distance,490.1,196.76666666666668,293.3333333333333,284.0,59.8517309392641,0.0,1.732216233144114e-06,2.798769079484369,30,0,0,1.207219567270749e-05
manhattan_greedy,productive_agents,10.6,12.866666666666667,-2.2666666666666666,-2.5,,3.5,7.096005658894384e-06,-1.5518805795979707,1,3,26,1.403389106167363e-05
manhattan_greedy,blocked_moves,20.9,0.6666666666666666,20.233333333333334,20.0,96.81020733652312,0.0,1.7245993818153558e-06,1.685835274616564,30,0,0,1.207219567270749e-05
manhattan_greedy,redundant_target_ratio,0.7022226990045769,0.0,0.7022226990045769,0.7145459976105137,100.0,0.0,1.862645149230957e-09,12.839005616109693,30,0,0,2.2351741790771484e-08
manhattan_greedy,runtime_seconds,0.24644974060041325,3.5313722601337454,-3.2849225195333323,-3.020987931999116,,0.0,1.862645149230957e-09,-2.7806857511931087,0,0,30,2.2351741790771484e-08
path_cost_greedy,iterations,33.266666666666666,23.433333333333334,9.833333333333334,9.0,29.55911823647294,1.5,4.364840552486913e-06,1.3537248203217447,27,2,1,1.309452165746074e-05
path_cost_greedy,total_distance,478.46666666666664,196.76666666666668,281.7,261.0,58.87557475268217,0.0,1.862645149230957e-09,2.798388437967839,30,0,0,2.2351741790771484e-08
path_cost_greedy,productive_agents,10.766666666666667,12.866666666666667,-2.1,-2.0,,0.0,7.016945530836815e-06,-1.4515230880435757,0,4,26,1.403389106167363e-05
path_cost_greedy,blocked_moves,20.533333333333335,0.6666666666666666,19.866666666666667,17.0,96.75324675324674,0.0,1.7256857880058036e-06,1.5369374705511292,30,0,0,1.207219567270749e-05
path_cost_greedy,redundant_target_ratio,0.7048474102733576,0.0,0.7048474102733576,0.7143390804597701,100.0,0.0,1.862645149230957e-09,10.680797330230453,30,0,0,2.2351741790771484e-08
path_cost_greedy,runtime_seconds,4.404072675801095,3.5313722601337454,0.8727004156673501,0.7160580384988862,,19.0,5.718320608139038e-07,0.9232143735816989,27,0,3,4.5746564865112305e-06
