failure_rate,baseline,metric,baseline_mean,hungarian_mean,mean_improvement,ci95_low,ci95_high,percent_reduction,wilcoxon_W,p_value,effect_dz,hungarian_wins,ties,hungarian_losses,holm_primary_p
0.0,manhattan_greedy,iterations,34.06666666666667,23.433333333333334,10.633333333333333,8.2,13.266666666666667,31.21330724070451,1.0,2.7998179191685326e-06,1.4800022046568675,28,1,1,2.2321136738999073e-05
0.0,manhattan_greedy,total_distance,490.1,196.76666666666668,293.3333333333333,257.03333333333336,331.03333333333336,59.8517309392641,0.0,1.732216233144114e-06,2.798769079484369,30,0,0,2.2321136738999073e-05
0.0,manhattan_greedy,blocked_moves,20.9,0.6666666666666666,20.233333333333334,16.133333333333333,24.466666666666665,96.81020733652312,0.0,1.7245993818153558e-06,1.685835274616564,30,0,0,
0.0,manhattan_greedy,redundant_target_ratio,0.7022226990045769,0.0,0.7022226990045769,0.682023043402492,0.720819230911188,100.0,0.0,1.862645149230957e-09,12.839005616109693,30,0,0,
0.0,manhattan_greedy,runtime_seconds,0.21879951810115017,3.0899446219331974,-2.8711451038320472,-3.904947801799159,-2.252963578019056,-1312.226429358372,0.0,1.862645149230957e-09,-1.1575232660547763,0,0,30,
0.0,path_cost_greedy,iterations,33.266666666666666,23.433333333333334,9.833333333333334,7.366666666666666,12.366666666666667,29.55911823647294,1.5,4.364840552486913e-06,1.3537248203217447,27,2,1,2.2321136738999073e-05
0.0,path_cost_greedy,total_distance,478.46666666666664,196.76666666666668,281.7,246.63333333333333,318.43416666666667,58.87557475268217,0.0,1.862645149230957e-09,2.798388437967839,30,0,0,2.9802322387695312e-08
0.0,path_cost_greedy,blocked_moves,20.533333333333335,0.6666666666666666,19.866666666666667,15.433333333333334,24.5,96.75324675324674,0.0,1.7256857880058036e-06,1.5369374705511292,30,0,0,
0.0,path_cost_greedy,redundant_target_ratio,0.7048474102733576,0.0,0.7048474102733576,0.68074351974305,0.7269360619922228,100.0,0.0,1.862645149230957e-09,10.680797330230453,30,0,0,
0.0,path_cost_greedy,runtime_seconds,3.5290513092666513,3.0899446219331974,0.43910668733345426,-0.10163683044475556,0.8680241087973264,12.442626894668237,44.0,2.6885420083999634e-05,0.3202172686878142,27,0,3,
0.2,manhattan_greedy,iterations,41.233333333333334,26.866666666666667,14.366666666666667,10.833333333333334,18.5,34.84236054971706,0.0,1.7170105183845441e-06,1.2860644188740826,30,0,0,2.2321136738999073e-05
0.2,manhattan_greedy,total_distance,491.03333333333336,216.53333333333333,274.5,232.66583333333332,323.36999999999995,55.90251849840472,0.0,1.862645149230957e-09,2.1021456849212563,30,0,0,2.9802322387695312e-08
0.2,manhattan_greedy,blocked_moves,18.766666666666666,0.7,18.066666666666666,14.2,22.633333333333333,96.26998223801067,0.0,2.5219363938825784e-06,1.5299548578568951,29,1,0,
0.2,manhattan_greedy,redundant_target_ratio,0.6729469276764992,0.0,0.6729469276764992,0.6495650566408883,0.6978630703525905,100.0,0.0,1.862645149230957e-09,9.791318997457214,30,0,0,
0.2,manhattan_greedy,runtime_seconds,0.27480866379870955,4.128094166430916,-3.8532855026322066,-4.874138212643872,-3.1170843758930764,-1402.1703134711363,0.0,1.862645149230957e-09,-1.476803319299688,0,0,30,
0.2,path_cost_greedy,iterations,43.06666666666667,26.866666666666667,16.2,12.2,20.734166666666656,37.61609907120743,0.0,2.5355906526225674e-06,1.3371261752616384,29,1,0,2.2321136738999073e-05
