num_agents,num_tasks,baseline,metric,baseline_mean,hungarian_mean,mean_improvement,improvement_ci95_low,improvement_ci95_high,percent_reduction,wilcoxon_W,p_value,effect_dz,hungarian_wins,ties,hungarian_losses,holm_primary_p
5,10,manhattan_greedy,iterations,54.46666666666667,40.833333333333336,13.633333333333333,7.733333333333333,20.466666666666665,25.030599755201955,4.5,7.453303968322738e-05,0.741897511077277,20,8,2,0.0002098554824341732
5,10,manhattan_greedy,total_distance,266.7,145.5,121.2,90.66666666666667,155.70249999999996,45.44431946006749,0.0,1.7333066441991056e-06,1.2928862666274612,30,0,0,3.318799688067456e-05
5,10,manhattan_greedy,blocked_moves,5.633333333333334,0.13333333333333333,5.5,3.066666666666667,8.666666666666666,97.63313609467454,0.0,7.471418831164616e-06,0.6802989396747625,26,4,0,
5,10,manhattan_greedy,redundant_target_ratio,0.5382185921835931,0.0,0.5382185921835931,0.5007789232754309,0.5775777351730746,100.0,0.0,1.862645149230957e-09,4.908360555883554,30,0,0,
5,10,manhattan_greedy,runtime_seconds,0.11864262360128724,0.7332487214017116,-0.6146060978004243,-0.693970914384857,-0.540020349532133,-518.0314453141915,0.0,1.862645149230957e-09,-2.7818952720775485,0,0,30,
5,10,path_cost_greedy,iterations,51.93333333333333,40.833333333333336,11.1,6.199166666666668,16.66749999999999,21.373555840821556,9.0,0.00021299094965819516,0.74505844844531,19,9,2,0.00021299094965819516
5,10,path_cost_greedy,total_distance,254.7,145.5,109.2,82.96583333333334,137.8,42.87396937573616,0.0,1.7333066441991056e-06,1.3864142704834383,30,0,0,3.318799688067456e-05
5,10,path_cost_greedy,blocked_moves,4.966666666666667,0.13333333333333333,4.833333333333333,2.3333333333333335,8.533333333333333,97.31543624161073,0.0,3.789497958022052e-05,0.540830085744052,22,8,0,
5,10,path_cost_greedy,redundant_target_ratio,0.5263338271621736,0.0,0.5263338271621736,0.48781732675032574,0.5668875791544042,100.0,0.0,1.862645149230957e-09,4.738219623124219,30,0,0,
5,10,path_cost_greedy,runtime_seconds,0.8566665178645053,0.7332487214017116,0.12341779646279367,0.062440416469980844,0.1943374985049498,14.406749171246833,68.0,0.0003800932317972183,0.6565805597000964,22,0,8,
10,10,manhattan_greedy,iterations,34.266666666666666,23.6,10.666666666666666,7.066666666666666,14.533333333333333,31.128404669260696,17.0,1.43959155067219e-05,1.0345808594723855,27,1,2,5.75836620268876e-05
10,10,manhattan_greedy,total_distance,333.06666666666666,122.9,210.16666666666666,170.0325,253.9,63.100480384307446,0.0,1.732216233144114e-06,1.7875926100566757,30,0,0,3.318799688067456e-05
10,10,manhattan_greedy,blocked_moves,9.6,0.23333333333333334,9.366666666666667,5.7,13.566666666666666,97.56944444444446,0.0,5.472403378584813e-06,0.8311610250782708,27,3,0,
10,10,manhattan_greedy,redundant_target_ratio,0.6930250759057461,0.0,0.6930250759057461,0.6598332191350503,0.7231584602682287,100.0,0.0,1.862645149230957e-09,7.684069672978553,30,0,0,
10,10,manhattan_greedy,runtime_seconds,0.13357872260142659,1.148955117665173,-1.0153763950637464,-1.2545139402800243,-0.8118926138757039,-760.133332082712,0.0,1.862645149230957e-09,-1.601244763708546,0,0,30,
10,10,path_cost_greedy,iterations,32.1,23.6,8.5,5.466666666666667,11.466666666666667,26.479750778816197,28.5,6.995182747805774e-05,0.9985118596475302,24,2,4,0.0002098554824341732
10,10,path_cost_greedy,total_distance,313.3333333333333,122.9,190.43333333333334,157.46666666666667,224.06666666666666,60.77659574468085,0.0,1.7311263949197288e-06,2.0046059550579582,30,0,0,3.318799688067456e-05
10,10,path_cost_greedy,blocked_moves,7.666666666666667,0.23333333333333334,7.433333333333334,4.733333333333333,10.6,96.95652173913044,6.0,4.691604229478221e-06,0.8770003196086631,27,1,2,
10,10,path_cost_greedy,redundant_target_ratio,0.6893443184702598,0.0,0.6893443184702598,0.6598310390134257,0.716925613019925,100.0,0.0,1.862645149230957e-09,8.37156968915435,30,0,0,
10,10,path_cost_greedy,runtime_seconds,1.2340184849007831,1.148955117665173,0.0850633672356101,0.004610058588126158,0.1644795973934864,6.893200407970328,137.0,0.049710121005773544,0.37084478731949544,20,0,10,
15,20,manhattan_greedy,iterations,34.06666666666667,23.433333333333334,10.633333333333333,8.166666666666666,13.2,31.21330724070451,1.0,2.7998179191685326e-06,1.4800022046568675,28,1,1,3.318799688067456e-05
15,20,manhattan_greedy,total_distance,490.1,196.76666666666668,293.3333333333333,257.3,330.1,59.8517309392641,0.0,1.732216233144114e-06,2.798769079484369,30,0,0,3.318799688067456e-05
15,20,manhattan_greedy,blocked_moves,20.9,0.6666666666666666,20.233333333333334,16.1,24.433333333333334,96.81020733652312,0.0,1.7245993818153558e-06,1.685835274616564,30,0,0,
15,20,manhattan_greedy,redundant_target_ratio,0.7022226990045769,0.0,0.7022226990045769,0.682467898634919,0.7205274972503076,100.0,0.0,1.862645149230957e-09,12.839005616109693,30,0,0,
15,20,manhattan_greedy,runtime_seconds,0.17458964483230371,2.3384207931987477,-2.1638311483664436,-2.4492840343518885,-1.9180087448752965,-1239.381150265149,0.0,1.862645149230957e-09,-2.854167703305622,0,0,30,
15,20,path_cost_greedy,iterations,33.266666666666666,23.433333333333334,9.833333333333334,7.3,12.433333333333334,29.55911823647294,1.5,4.364840552486913e-06,1.3537248203217447,27,2,1,3.318799688067456e-05
15,20,path_cost_greedy,total_distance,478.46666666666664,196.76666666666668,281.7,246.43333333333334,317.6333333333333,58.87557475268217,0.0,1.862645149230957e-09,2.798388437967839,30,0,0,4.470348358154297e-08
15,20,path_cost_greedy,blocked_moves,20.533333333333335,0.6666666666666666,19.866666666666667,15.533333333333333,24.366666666666667,96.75324675324674,0.0,1.7256857880058036e-06,1.5369374705511292,30,0,0,
