condition,paired_runs,identical_iterations,identical_distance,repeated_mean_global_calls,event_mean_global_calls,mean_global_reduction_pct,repeated_mean_astar,event_mean_astar,mean_astar_reduction_pct,median_astar_reduction_pct,min_astar_reduction_pct,max_astar_reduction_pct,astar_reduction_wins,astar_wilcoxon_p,repeated_mean_runtime,event_mean_runtime,mean_runtime_reduction_pct,runtime_wins,runtime_wilcoxon_p
static,30,30,30,23.433333333333334,13.466666666666667,41.388248134725906,3227.0,2076.0,34.20486731040795,33.06878306878306,11.267605633802818,61.849710982658955,30,1.7289484360195754e-06,3.4710525726656973,2.2755159750343106,29.272854226179966,29,1.4193356037139893e-06
20% failure,30,30,30,26.866666666666667,14.433333333333334,45.34953388342822,3178.2,1959.0,37.474643363540764,37.82596119689666,21.15621156211562,58.22147651006711,30,1.732216233144114e-06,3.327328893899782,2.003611066932596,35.491746225362746,29,3.5390257835388184e-08
