Algorithm,Success Rate (%),Mean Iterations,Std Iterations,Mean Distance,Std Distance,Mean Unproductive Agents
Greedy,100.0,5.72,2.157473957560327,235.25366375707162,90.06733580865269,7.64
Fixed PSO,100.0,6.56,2.139616597354178,264.421683852813,89.32857853299969,7.22
Dynamic PSO,100.0,6.68,2.235520301944977,267.8637432915083,93.00776633523877,7.22
