failure_rate,algorithm,success_rate,mean_iterations,mean_total_distance,mean_distance_per_task,mean_distance_per_surviving_agent,mean_tasks_per_surviving_agent
0.0,dynamic_pso,100.0,10.3,403.56519465090753,20.178259732545374,26.904346310060497,1.3333333333333333
0.0,fixed_pso,100.0,10.033333333333333,398.05096916247516,19.902548458123757,26.536731277498344,1.3333333333333333
0.0,greedy,100.0,8.566666666666666,347.47469530944267,17.373734765472133,23.164979687296178,1.3333333333333333
0.2,dynamic_pso,100.0,11.0,369.9764579268945,18.498822896344723,30.831371493907874,1.6666666666666667
0.2,fixed_pso,100.0,11.066666666666666,375.32816317194386,18.766408158597194,31.277346930995325,1.6666666666666667
0.2,greedy,100.0,9.4,329.0139976908206,16.45069988454103,27.417833140901717,1.6666666666666667
0.4,dynamic_pso,100.0,13.2,357.06010010926116,17.853005005463057,39.67334445658457,2.2222222222222223
0.4,fixed_pso,100.0,13.3,363.43852793752313,18.171926396876156,40.38205865972479,2.2222222222222223
0.4,greedy,100.0,11.2,320.9635026809956,16.048175134049778,35.66261140899951,2.2222222222222223
0.6,dynamic_pso,100.0,14.333333333333334,291.69385074798174,14.584692537399087,48.61564179133029,3.3333333333333335
0.6,fixed_pso,100.0,14.233333333333333,293.03406123644055,14.651703061822026,48.839010206073425,3.3333333333333335
0.6,greedy,100.0,11.666666666666666,259.8712369595229,12.993561847976142,43.31187282658714,3.3333333333333335
