algorithm,num_agents,num_tasks,success_rate,mean_iterations,std_iterations,mean_distance,std_distance,mean_unused_agents
dynamic_pso,5,10,100.0,15.966666666666667,6.088334426750392,213.79794384595434,84.78984119614393,0.6333333333333333
dynamic_pso,10,10,100.0,8.766666666666667,2.3294713523907515,233.41679220690222,63.835512255339204,2.966666666666667
dynamic_pso,15,10,100.0,7.166666666666667,2.320572660199281,287.9218377020897,97.37231401386151,7.166666666666667
dynamic_pso,15,20,100.0,9.333333333333334,2.397316507426921,367.1487127298364,99.24741115049885,3.4
dynamic_pso,20,10,100.0,5.766666666666667,2.555363977493473,305.61510189952594,139.76365625104881,11.6
dynamic_pso,20,20,100.0,8.166666666666666,2.450662589267805,427.8273778546231,134.94547155273364,6.8
dynamic_pso,30,30,100.0,7.266666666666667,1.659524928558094,563.193669221097,138.90168177121146,10.433333333333334
fixed_pso,5,10,100.0,16.2,6.149852815732456,218.57605602947328,85.78714669413412,0.7
fixed_pso,10,10,100.0,8.833333333333334,2.5607559946952807,236.34033890650696,70.41134621924232,2.966666666666667
fixed_pso,15,10,100.0,7.133333333333334,2.2086559079087515,288.01978545722466,93.10136266970949,7.233333333333333
fixed_pso,15,20,100.0,9.333333333333334,2.5908770094624174,370.3989337364132,107.24748864061864,3.533333333333333
fixed_pso,20,10,100.0,5.7,2.548156872776058,303.7546415482448,139.9946068693945,11.833333333333334
fixed_pso,20,20,100.0,8.233333333333333,2.595531084228313,435.05431042202906,143.92810807839828,6.766666666666667
fixed_pso,30,30,100.0,7.266666666666667,1.7207322686083055,569.6724902449579,144.1021006742215,10.3
greedy,5,10,100.0,14.433333333333334,5.928792011248469,197.08296264926386,82.60249213109356,0.8666666666666667
greedy,10,10,100.0,7.9,2.2946714887711726,215.84093451072528,64.76212268652627,3.6
greedy,15,10,100.0,6.233333333333333,2.344227441791981,256.871434392365,97.63026282554125,7.766666666666667
greedy,15,20,100.0,8.566666666666666,2.1444930810596343,347.47469530944267,88.83932250225345,4.166666666666667
greedy,20,10,100.0,4.8,2.171921126401773,262.609392825963,121.01504761186953,11.933333333333334
greedy,20,20,100.0,7.166666666666667,2.692048743388873,388.0347745431772,148.0617390322119,7.466666666666667
greedy,30,30,100.0,6.533333333333333,2.330211376135493,525.9519028792932,192.1084942356484,11.333333333333334
