obstacle_density,algorithm,success_rate,mean_iterations,std_iterations,mean_distance,std_distance,mean_redundancy,mean_blocked_moves,mean_productive_agents
0.0,manhattan_greedy,100.0,29.666666666666668,7.198339527559324,430.3,101.85322434928031,0.6999118640186279,14.7,11.1
0.0,path_cost_greedy,100.0,29.666666666666668,7.198339527559324,430.3,101.85322434928031,0.6999118640186279,14.7,11.1
0.05,manhattan_greedy,100.0,30.133333333333333,10.146286337216274,439.8,146.66391324479198,0.6917418972658192,12.2,11.033333333333333
0.05,path_cost_greedy,100.0,30.5,10.842922369787647,443.76666666666665,153.4029364762625,0.6960311640643652,13.733333333333333,11.1
0.1,manhattan_greedy,100.0,30.9,7.975609370298059,447.46666666666664,110.15873604229846,0.6980136417154192,16.033333333333335,10.833333333333334
0.1,path_cost_greedy,100.0,30.466666666666665,7.407979543677224,442.76666666666665,104.11753415991097,0.7026565585730318,14.233333333333333,10.8
0.15,manhattan_greedy,100.0,32.56666666666667,7.881376272836045,472.4,111.31799742954479,0.7019836198084963,16.1,11.333333333333334
0.15,path_cost_greedy,100.0,33.233333333333334,8.173478275889451,480.8666666666667,116.15172400143595,0.7110762823846299,17.633333333333333,11.233333333333333
0.2,manhattan_greedy,100.0,34.06666666666667,8.622078049116547,490.1,121.16171866132272,0.7022226990045767,20.9,10.6
0.2,path_cost_greedy,100.0,33.266666666666666,8.456514865957544,478.46666666666664,118.27079778709283,0.7048474102733576,20.533333333333335,10.766666666666667
