obstacle_density,baseline,iteration_reduction_pct,distance_reduction_pct,blocked_move_reduction_pct,redundancy_reduction_pct,iteration_holm_p,distance_holm_p
0.0,manhattan_greedy,29.325842696629223,60.32225579053375,97.50566893424036,100.0,5.4564528467163775e-05,5.4564528467163775e-05
0.0,path_cost_greedy,29.325842696629223,60.32225579053375,97.50566893424036,100.0,5.4564528467163775e-05,5.4564528467163775e-05
0.05,manhattan_greedy,29.0929203539823,61.52796725784447,97.54098360655738,100.0,5.4564528467163775e-05,7.450580596923828e-08
0.05,path_cost_greedy,29.94535519125683,61.8718545782318,97.81553398058252,100.0,5.4564528467163775e-05,5.4564528467163775e-05
0.1,manhattan_greedy,29.126213592233015,59.60965435041717,96.88149688149689,100.0,5.4564528467163775e-05,5.4564528467163775e-05
0.1,path_cost_greedy,28.118161925601754,59.18090792742603,96.4871194379391,100.0,5.4564528467163775e-05,5.4564528467163775e-05
0.15,manhattan_greedy,30.60388945752303,61.32514817950889,98.34368530020703,100.0,5.4564528467163775e-05,5.4564528467163775e-05
0.15,path_cost_greedy,31.99598796389167,62.006100097047,98.48771266540643,100.0,5.4564528467163775e-05,5.4564528467163775e-05
0.2,manhattan_greedy,31.21330724070451,59.8517309392641,96.81020733652312,100.0,5.4564528467163775e-05,5.4564528467163775e-05
0.2,path_cost_greedy,29.55911823647294,58.87557475268217,96.75324675324674,100.0,5.4564528467163775e-05,7.450580596923828e-08
